Sample,Date,Time,Site,Location,InjVol_mL,Range,IntArea,CH4_mM,CH4_uatm
CCBP_OUT,6/21/2017,9:50,,,10,10,2965,2.456710997,58.76358244
CCBP_SIDE,6/21/2017,10:20,,,10,10,6738,5.582906812,133.5409843
CCBP_UP_3,6/21/2017,10:40,,,10,100,16347,123.9995195,2966.020829
CCBP_UP_2,6/21/2017,10:50,,,10,100,6649,50.43572553,1206.403162
CCBP_UP_1,6/21/2017,11:00,,,10,10,4061,3.364824067,80.48529791
CC,6/21/2017,11:15,,,10,10,2698,2.235482722,53.47188716
PD,6/21/2017,11:50,,,10,10,4450,3.687137921,88.19492137
WB,6/21/2017,12:15,,,10,10,2453,2.032482994,48.61621172
PD_UP,6/21/2017,12:30,,,10,10,736,0.609827755,14.58684542
SMD_UP,6/21/2017,13:20,,,10,10,2202,1.824511843,43.64162177
SMD_SIDE,6/21/2017,14:10,,,10,10,4373,3.623338007,86.66885195
SMD_OUT,6/21/2017,15:15,,,10,10,2706,2.242111284,53.63043983
SMD_DOWN,6/21/2017,15:30,,,10,10,927,0.768084686,18.37229036
ID_UP,6/21/2017,16:35,,,10,10,1024,0.848456007,20.29474146
ID,6/21/2017,17:00,,,10,10,1630,1.350569621,32.30510603
MR,6/21/2017,17:15,,,10,10,1983,1.643054943,39.30124249
CCBP_OUT,8/30/2017,8:45,,,10,10,5417,4.425102805,105.8467576
CCBP_SIDE,8/30/2017,8:55,,,10,10,6769,5.529540499,132.2644826
CCBP_UP_3,8/30/2017,9:15,,,10,100,9048,68.73359923,1644.081266
CCBP_UP_1,8/30/2017,9:25,,,10,10,5702,4.657916964,111.4155828
CC,8/30/2017,9:35,,,10,10,1119,0.914101909,21.86496618
PD,8/30/2017,10:00,,,10,10,568,0.463994534,11.09857086
WB,8/30/2017,10:10,,,10,10,1735,1.417307249,33.90144443
PD_UP,8/30/2017,10:25,,,10,10,1914,1.563530878,37.39905743
SMD_UP,8/30/2017,11:10,,,10,10,2861,2.3371274,55.90318878
SMD_SIDE,8/30/2017,13:10,,,10,10,4836,3.950488677,94.49417019
SMD_OUT,8/30/2017,14:00,,,10,10,1073,0.876524886,20.96613826
SMD_DOWN,8/30/2017,14:10,,,10,10,345,0.281827666,6.741209412
ID_UP,8/30/2017,15:05,,,10,10,1574,1.285787671,30.75554671
ID,8/30/2017,15:25,,,10,10,815,0.665766806,15.924886
MR,8/30/2017,15:35,,,10,10,2105,1.71955721,41.13114728
CCBP_OUT,10/11/2017,8:20,,,10,10,4109,3.325017557,79.53314151
CCBP_SIDE,10/11/2017,8:35,,,10,100,2178,16.37923984,391.785119
CCBP_UP_3,10/11/2017,8:50,,,10,100,26301,197.7917295,4731.102119
CCBP_UP_2,10/11/2017,9:00,,,10,100,9287,69.84113882,1670.573187
CCBP_UP_1,10/11/2017,9:10,,,10,100,3831,28.8103158,689.1316763
CC,10/11/2017,9:25,,,10,10,1345,1.088378831,26.03360315
PD,10/11/2017,9:50,,,10,10,1088,0.880413508,21.05915258
WB,10/11/2017,10:00,,,10,10,2669,2.159764386,51.66073368
PD_UP,10/11/2017,10:15,,,10,10,1003,0.811631202,19.41390629
SMD_UP,10/11/2017,11:00,,,10,100,1004,7.550393386,180.6025067
