"Sample","Site","Location","Date","Time","CArea.km2","Cond.uScm","Sp_Cond.uScm","Temp.C","DO.mgL","DO.pct","pH","TSS.mgL","Chl.mgL","UNH_ID","PO4.ugL","NH4.ugL","Cl.mgL","NO3.mgL","SO4.mgL","Br.mgL","DOC.mgL","TDN.mgL","DIN.mgL","DON.mgL","TDP.mgL","Q_est.m3s","CH4.mM","CH4.uatm","N2O.mM","N2O.uatm","CO2.ppm","Gas_Flag","AFDM.pct","AFDM.mgL","Ash.pct","Ash.mgL","PC.mgL","PN.mgL","TN.mgL","NAr_sat","NAr_calc.A","NAr_calc.B","NAr_calc.C","NArcalc.mean","N2.mM.A","N2.mM.B","N2.mM.C","N2.mM.mean","Notes","DateTime","Year","DateTime15","NArDisEq","DOCtoDON","DOCtoTDN","Discharge.m3s","SArea.km2","Sp_CondCA","TempCA","DO.mgLCA","DO.pctCA","TSSCA","ChlCA","PO4CA","NH4CA","ClCA","NO3CA","SO4CA","BrCA","DOCCA","TDNCA","DONCA","DINCA","TDPCA","N2OCA","CH4CA","AFDM.mgLCA","Ash.mgLCA","PCCA","PNCA","TNCA","NArCA","N2CA","DOCtoDONCA","DOCtoTDNCA","TSS.kgkm2Day","Chl.kgkm2Day","PO4.kgkm2Day","NH4.kgkm2Day","Cl.kgkm2Day","NO3.kgkm2Day","SO4.kgkm2Day","Br.kgkm2Day","DOC.kgkm2Day","TDN.kgkm2Day","DON.kgkm2Day","DIN.kgkm2Day","TDP.kgkm2Day","AFDM.kgkm2Day","Ash.kgkm2Day","PC.kgkm2Day","PN.kgkm2Day","TN.kgkm2Day","DOCtoDON.kgkm2Day","DOCtoTDN.kgkm2Day"
"MR","ID","UP_2",2015-06-18,"12:00",43.3,351.8,396,19.3,5.77,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166638355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 11:00:00,2015,2015-06-18 11:00:00,NA,NA,NA,0.166260261678795,0.12961,17146.8,835.69,249.841,2701.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID","ID","OUT",2015-06-18,"12:15",387.5,413.1,449.1,20.9,8.99,100.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.491278579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 11:15:00,2015,2015-06-18 11:15:00,NA,NA,NA,1.48789495151347,0.12961,174026.25,8098.75,3483.625,38982.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ID_UP","ID","UP_1",2015-06-18,"12:45",337.8,413.9,454.6,20.4,3.8,97.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.300010075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 11:45:00,2015,2015-06-18 11:45:00,NA,NA,NA,1.29706042482903,0.12961,153563.88,6891.12,1283.64,32901.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMD_UP","SMD","UP",2015-06-18,"14:30",111.9,529,576,20.7,6.94,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357418212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 13:30:00,2015,2015-06-18 13:30:00,NA,NA,NA,0.354655243007351,0.060809,64454.4,2316.33,776.586,8661.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMD_OUT","SMD","OUT",2015-06-18,"15:30",113.8,525,571,20.7,8.63,96.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363486975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 14:30:00,2015,2015-06-18 14:30:00,NA,NA,NA,0.360677092531158,0.060809,64979.8,2355.66,982.094,10958.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PD","PD","OUT",2015-06-18,"16:10",63.9,276,293,21.3,8.02,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328035446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 15:10:00,2015,2015-06-18 15:15:00,NA,NA,NA,0.337835405543272,0.162161,18722.7,1361.07,512.478,5782.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WB","PD","UP_2",2015-06-18,"16:20",6,561,654,18.2,9.65,102.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03080145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 15:20:00,2015,2015-06-18 15:15:00,NA,NA,NA,0.0317216343233119,0.162161,3924,109.2,57.9,613.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PD_UP","PD","UP_1",2015-06-18,"16:45",55.7,214.4,231.7,21.2,9.06,102.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 15:45:00,2015,2015-06-18 15:45:00,NA,NA,NA,0.294482505301412,0.162161,12905.69,1180.84,504.642,5686.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LH_OUT","LH","OUT",2015-06-19,"14:15",1.113657,404.9,432.7,21.7,8.8,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003421177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 13:15:00,2015,2015-06-19 13:15:00,NA,NA,NA,0.00302886021927582,0.003607,481.8793839,24.1663569,9.8001816,115.820328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LH_IN","LH","UP",2015-06-19,"14:30",1.061859,404.4,464.4,18.3,8.7,92.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003549881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 13:30:00,2015,2015-06-19 13:30:00,NA,NA,NA,0.00288798299977462,0.003607,493.1273196,19.4320197,9.2381733,98.3281434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTEB","BRDS","UP_2",2015-06-19,"14:53",2.51,1044,1141,20.5,8.8,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009071496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 13:53:00,2015,2015-06-19 14:00:00,NA,NA,NA,0.00682655355318767,0.061656,2863.91,51.455,22.088,245.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRDS","BRDS","UP_1",2015-06-19,"15:10",4.9014,415.2,454.1,20.5,8.3,91.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018600072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 14:10:00,2015,2015-06-19 14:15:00,NA,NA,NA,0.0133305456516311,0.061656,2225.72574,100.4787,40.68162,449.45838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRDS_OUT","BRDS","OUT",2015-06-19,"15:24",8.32,617,616,25.1,11.9,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033076625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 14:24:00,2015,2015-06-19 14:30:00,NA,NA,NA,0.0226282571962237,0.061656,5125.12,208.832,99.008,1189.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OMPD","OMPD","OUT",2015-06-19,"15:33",50.59,303.6,304.2,24.9,7.8,86.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20112337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-19 14:33:00,2015,2015-06-19 14:30:00,NA,NA,NA,0.137591770619826,0.091525,15389.478,1259.691,394.602,4370.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
