Sample,Date,Time,Site,Location,CH4_InjVol.mL,CH4_Range,CH4_IntArea,CH4.mM,CH4.uatm,N2O_IntArea,N2O.mM,N2O.uatm
CC,3/9/2016,10:45,CCBP,DOWN,6,1,2664,0.135289751,3.236078814,NA,NA,NA
CCBP_OUT,3/9/2016,9:30,CCBP,OUT,10,1,18951,1.604026565,38.3676987,NA,NA,NA
CCBP_SIDE,3/9/2016,9:45,CCBP,SIDE,3,1,18598,0.472244516,11.29590724,NA,NA,NA
CCBP_UP_1,3/9/2016,10:20,CCBP,UP_1,5,1,11942,0.505389828,12.08873035,NA,NA,NA
CCBP_UP_2,3/9/2016,10:15,CCBP,UP_2,5,1,2987,0.126410937,3.023701019,NA,NA,NA
CCBP_UP_3,3/9/2016,10:05,CCBP,UP_3,3,1,8586,0.218017605,5.214897277,NA,NA,NA
ID,3/9/2016,15:00,ID,OUT,10,1,3452,0.292179817,6.988828869,NA,NA,NA
ID_UP,3/9/2016,14:35,ID,UP_1,10,1,3480,0.294549757,7.045516937,NA,NA,NA
MR,3/9/2016,15:15,ID,UP_2,10,1,4558,0.385792469,9.228007528,NA,NA,NA
PD,3/9/2016,11:05,PD,OUT,5,1,2893,0.122432823,2.928546049,NA,NA,NA
PD_UP,3/9/2016,11:30,PD,UP_1,5,1,1313,0.055566642,1.329132721,NA,NA,NA
SMD_DOWN,3/9/2016,13:20,SMD,DOWN,5,1,1756,0.074314565,1.777575825,NA,NA,NA
SMD_OUT,3/9/2016,12:45,SMD,OUT,5,1,2850,0.120613047,2.885017711,NA,NA,NA
SMD_SIDE,3/9/2016,12:30,SMD,SIDE,5,1,11599,0.490873942,11.74151594,NA,NA,NA
SMD_UP,3/9/2016,13:45,SMD,UP,5,1,2256,0.095474749,2.283719283,NA,NA,NA
WB,3/9/2016,11:20,PD,UP_2,5,1,5305,0.224509549,5.37018209,NA,NA,NA
CC,5/26/2016,10:45,CCBP,DOWN,10,10,959,0.754413609,18.04528346,NA,NA,NA
CCBP_OUT,5/26/2016,9:30,CCBP,OUT,10,10,313,0.246226757,5.889649345,NA,NA,NA
CCBP_SIDE,5/26/2016,9:45,CCBP,SIDE,10,10,610,0.479866842,11.47823035,NA,NA,NA
CCBP_UP_1,5/26/2016,10:20,CCBP,UP_1,10,100,857,6.436832442,153.966557,NA,NA,NA
CCBP_UP_2,5/26/2016,10:15,CCBP,UP_2,10,10,439,0.345346793,8.2605625,NA,NA,NA
CCBP_UP_3,5/26/2016,10:00,CCBP,UP_3,10,10,343,0.269826765,6.454152477,NA,NA,NA
ID_UP,5/26/2016,14:55,ID,UP_1,10,10,661,0.519986857,12.43788568,NA,NA,NA
ID_UP,5/26/2016,15:30,ID,UP_1,10,10,848,0.667093577,15.95662187,NA,NA,NA
MR,5/26/2016,15:45,ID,UP_2,10,10,898,0.706426925,16.89746042,NA,NA,NA
PD,5/26/2016,11:15,PD,OUT,10,10,494,0.388613475,9.295484909,NA,NA,NA
SMD_DOWN,5/26/2016,13:25,SMD,DOWN,10,10,384,0.30208011,7.225640091,NA,NA,NA
SMD_OUT,5/26/2016,13:00,SMD,OUT,10,10,879,0.691480253,16.53994177,NA,NA,NA
SMD_SIDE,5/26/2016,12:40,SMD,SIDE,10,100,355,2.66636583,63.77844545,NA,NA,NA
SMD_UP,5/26/2016,13:45,SMD,UP,10,10,746,0.586853548,14.03731122,NA,NA,NA
WB,5/26/2016,11:25,PD,UP_2,10,10,1675,1.317667148,31.51809154,NA,NA,NA
CC,6/9/2016,11:20,CCBP,DOWN,10,10,2051,1.554265038,37.81511373,NA,NA,NA
CCBP_OUT,6/9/2016,9:50,CCBP,OUT,10,10,1488,1.127618906,27.43485579,NA,NA,NA
CCBP_SIDE,6/9/2016,10:05,CCBP,SIDE,10,10,9343,7.080203926,172.260657,NA,NA,NA
CCBP_UP_1,6/9/2016,11:00,CCBP,UP_1,10,10,7181,5.441822155,132.3989916,NA,NA,NA
CCBP_UP_2,6/9/2016,10:45,CCBP,UP_2,10,10,47742,36.17928886,880.2384981,NA,NA,NA
CCBP_UP_3,6/9/2016,10:25,CCBP,UP_3,10,10,3347,2.536384731,61.70998813,NA,NA,NA
ID,6/9/2016,15:45,ID,OUT,10,1,17610,1.334500601,32.46826683,NA,NA,NA
ID_UP,6/9/2016,15:05,ID,UP_1,10,10,970,0.735074153,17.88428099,NA,NA,NA
MR,6/9/2016,16:00,ID,UP_2,10,1,9249,0.700896994,17.05275411,NA,NA,NA
PD,6/9/2016,11:45,PD,OUT,10,10,1314,0.995760244,24.22674765,NA,NA,NA
