Sample,Date,Time,Site,Location,CH4_InjVol.mL,CH4_Range,CH4_IntArea,CH4.mM,CH4.uatm,N2O_IntArea,N2O.mM,N2O.uatm,Flag
MR,6/26/15,9:00,ID,UP_2,10,1,19846,2.017656774,49.08938856,NA,NA,NA,3
ID,6/26/15,9:30,ID,OUT,10,1,8310,0.844841671,20.55491378,NA,NA,NA,3
ID_UP,6/26/15,9:55,ID,UP_1,10,1,5775,0.587119211,14.284552,NA,NA,NA,3
SMD_DOWN,6/26/15,10:45,SMD,DOWN,10,1,9259,0.941322386,22.90227999,NA,NA,NA,3
SMD_OUT,6/26/15,10:40,SMD,OUT,10,1,14069,1.430334231,34.79988953,NA,NA,NA,3
SMD_UP,6/26/15,11:15,SMD,UP,10,1,9475,0.963282169,23.43655934,NA,NA,NA,3
MR,7/24/15,11:00,ID,UP_2,10,1,43210,40.67477388,977.9314267,NA,NA,NA,3
ID,7/24/15,11:15,ID,OUT,10,1,2811,2.646072423,63.61872808,NA,NA,NA,3
ID_UP,7/24/15,11:40,ID,UP_1,10,1,1366,1.285853764,30.91539757,NA,NA,NA,3
SMD_UP,7/24/15,12:25,SMD,UP,10,1,1058,0.995924804,23.94472227,NA,NA,NA,3
SMD_OUT,7/24/15,12:45,SMD,OUT,10,1,1853,1.744280398,41.93721207,NA,NA,NA,3
SMD_DOWN,7/24/15,,SMD,DOWN,10,1,428,0.402888295,9.68652281,NA,NA,NA,3
SMD_UP,9/16/15,13:15,SMD,UP,NA,NA,NA,NA,NA,19744,0.05559656,1.34125355,1
SMD_OUT,9/16/15,13:30,SMD,OUT,NA,NA,NA,NA,NA,19982,0.055811169,1.346430942,1
SMD_DOWN,9/16/15,13:40,SMD,DOWN,NA,NA,NA,NA,NA,21253,0.056957253,1.374079956,1
ID_UP,9/16/15,14:40,ID,UP_1,NA,NA,NA,NA,NA,24975,0.060313451,1.455047406,1
ID,9/16/15,15:00,ID,OUT,NA,NA,NA,NA,NA,26538,0.061722837,1.489048515,1
MR,9/16/15,15:15,ID,UP_2,NA,NA,NA,NA,NA,21395,0.057085298,1.377168988,1
SMD_SIDE,10/2/15,10:45,SMD,SIDE,10,1,8626,0.859161847,20.72707163,328563,0.318144394,7.701262499,NA
SMD_OUT,10/2/15,12:00,SMD,OUT,10,1,4920,0.490038985,11.82207192,335424,0.324152901,7.846709311,NA
SMD_DOWN,10/2/15,12:30,SMD,DOWN,10,1,2447,0.243724674,5.87979878,338681,0.327005212,7.915754678,NA
SMD_UP,10/2/15,13:00,SMD,UP,10,1,4769,0.474999171,11.45924004,342094,0.32999414,7.9881071,NA
ID_UP,10/2/15,13:50,ID,UP_1,10,1,3873,0.385756299,9.30627735,342361,0.330227965,7.993767251,NA
ID,10/2/15,14:10,ID,OUT,10,1,3356,0.334262365,8.063998654,362467,0.347835753,8.419995729,NA
MR,10/2/15,14:25,ID,UP_2,10,1,6419,0.639341513,15.42395929,351471,0.338206029,8.186890768,NA
CCBP_OUT,10/2/15,15:15,CCBP,OUT,10,1,24692,2.459358256,59.33142276,313594,0.305035323,7.383933638,NA
CCBP_SIDE,10/2/15,15:30,CCBP,SIDE,10,1,13722,1.366730681,32.97204694,320296,0.310904586,7.526009797,NA
CCBP_UP_2,10/2/15,15:55,CCBP,UP_2,10,1,57806,5.757559668,138.8997337,38408,0.064041745,1.550246682,NA
CCBP_UP_1,10/2/15,16:05,CCBP,UP_1,10,1,19027,1.895116213,45.71922002,28315,0.055202821,1.336284481,NA
CC,10/2/15,16:25,CCBP,DOWN,10,1,4255,0.423804041,10.22416993,23930,0.051362666,1.243326564,NA
CCBP_OUT,10/14/15,10:45,CCBP,OUT,10,1,31586,3.146010443,75.89674061,30275,0.0569,1.38,NA
CCBP_SIDE,10/14/15,11:15,CCBP,SIDE,5,1,26012,1.295416065,31.25159907,29307000,25.696,622.02,4
CCBP_UP_3,10/14/15,11:30,CCBP,UP_3,10,1,3770,0.375497352,9.058782755,76222,0.0972,2.35,NA
CCBP_UP_2,10/14/15,11:45,CCBP,UP_2,5,1,24266,1.208464025,29.15390217,22550,0.0502,1.21,NA
CCBP_UP_1,10/14/15,12:00,CCBP,UP_1,10,1,17352,1.728283835,41.69442927,24996,0.0523,1.27,NA
CC,10/14/15,12:15,CCBP,DOWN,10,1,5085,0.506473219,12.21854385,73479000,64.3795,1558.42,4
SMD_SIDE,10/14/15,13:15,SMD,SIDE,10,1,19508,1.943024496,46.87499575,762346,0.698,16.9,4
