"Date","Discharge.m3s","flux.rate","count","site","model","const","interval","format","Flux","Std.Err","SEP","L95","U95"
2015-06-18,0.360677092531158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-19,0.30475816345656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-20,0.241010584311518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-21,0.690598774071287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-22,1.7670381587573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-23,1.90963142789753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-24,1.66079219351556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-25,1.48464756693058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-26,1.30011510098441,15.2579900435588,1,"SMD","comp","DIN","daily","flux",23.3951301004985,10.2866013000362,28.3722869361397,2.17046624734268,102.063332218959
2015-06-27,1.09321506340839,12.6747332949394,1,"SMD","comp","DIN","daily","flux",19.0535979451063,8.03775882497622,22.9860671422163,1.78504370493496,82.8298835279271
2015-06-28,1.66358813996929,20.8903134151914,1,"SMD","comp","DIN","daily","flux",30.788827663889,14.6387232098066,37.7521403447313,2.79835015728286,135.313337094881
2015-06-29,2.39053421793907,31.5723771488902,1,"SMD","comp","DIN","daily","flux",45.621074391325,25.2139215480422,57.3969667015777,3.95081444572687,203.958047347077
2015-06-30,2.00469360732434,26.5400039807568,1,"SMD","comp","DIN","daily","flux",37.5983892922589,19.3222637740807,46.6814652011783,3.33817746377344,166.622916236762
2015-07-01,1.80058951620206,23.9763466835395,1,"SMD","comp","DIN","daily","flux",33.3013083075022,16.4443453350324,41.0736543029947,2.99357948187012,146.931114570746
2015-07-02,1.83973276655428,24.9616423497213,1,"SMD","comp","DIN","daily","flux",33.9908067522732,16.9879951233578,42.0058330480867,3.04442476132369,150.168166693632
2015-07-03,1.64122056833945,22.3565996732065,1,"SMD","comp","DIN","daily","flux",29.8472343893538,14.3159207138568,36.6461983488675,2.70604525509577,131.291556980262
2015-07-04,1.41474890558733,19.2270611460659,1,"SMD","comp","DIN","daily","flux",25.1664108947928,11.4770189148257,30.6720247870547,2.31332701516532,110.156440918014
2015-07-05,1.252584011271,17.0079456747883,1,"SMD","comp","DIN","daily","flux",21.825804732737,9.58870610582714,26.4662426465286,2.02528008943556,95.2101100354634
2015-07-06,1.12397047439942,15.2557479610788,1,"SMD","comp","DIN","daily","flux",19.1938430999365,8.18004419240747,23.1844546668014,1.79397470229765,83.5103638955904
2015-07-07,1.02052045561142,13.8573451166497,1,"SMD","comp","DIN","daily","flux",17.0930080888205,7.10563721442729,20.5843339398231,1.6066450546432,74.2181877990705
2015-07-08,0.945029901360708,12.8724580274324,1,"SMD","comp","DIN","daily","flux",15.5671811487881,6.35411055270202,18.7067046898558,1.46906209298163,67.495406101147
2015-07-09,0.838783936118972,11.3584445999902,1,"SMD","comp","DIN","daily","flux",13.46720244346,5.3524897522933,16.1347127421594,1.27798449781069,58.2722758947219
2015-07-10,1.06805154532482,15.3890071906412,1,"SMD","comp","DIN","daily","flux",17.8887154873776,7.57291348487343,21.5900666823124,1.674569254099,77.7884665501957
2015-07-11,0.972989365898007,14.7685373056001,1,"SMD","comp","DIN","daily","flux",15.9907291880248,6.60676695650155,19.2429157006051,1.50506788289697,69.3980635495718
2015-07-12,0.810824471581673,12.7274911476116,1,"SMD","comp","DIN","daily","flux",12.8361805541065,5.07550378585583,15.3700335618637,1.21937681331331,55.5207146246839
2015-07-13,0.685006881163827,11.1127970954623,1,"SMD","comp","DIN","daily","flux",10.4394742668047,3.9911983753576,12.4557677266373,0.998266972465236,45.045570991247
2015-07-14,0.58994470173701,9.90701558336427,1,"SMD","comp","DIN","daily","flux",8.66882666238803,3.23380818018458,10.3176410315803,0.832744118222335,37.3429329191549
2015-07-15,0.525637933301222,9.1951196205321,1,"SMD","comp","DIN","daily","flux",7.49440374470662,2.75102069982625,8.90593893748312,0.72200625553577,32.2497469274553
2015-07-16,0.438963593235595,7.85312642830366,1,"SMD","comp","DIN","daily","flux",5.96189772574152,2.14645427318912,7.07192601401886,0.576298017281342,25.6235118104997
2015-07-17,0.369064931892348,6.74434116894059,1,"SMD","comp","DIN","daily","flux",4.76917977322409,1.69467440105477,5.65039075508056,0.462023059403438,20.4807675666483
2015-07-18,0.315941949271479,5.91305016750814,1,"SMD","comp","DIN","daily","flux",3.89473537640867,1.37279936733106,4.61104132973929,0.377813165070236,16.7173573474886
2015-07-19,0.29357437764164,5.75986631340729,1,"SMD","comp","DIN","daily","flux",3.53379233925087,1.23955075320605,4.18192512301888,0.34307031777745,15.1636789054083
