"Date","Discharge.m3s","flux.rate","count","site","model","const","interval","format","Flux","Std.Err","SEP","L95","U95"
2015-06-18,0.360677092531158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-19,0.30475816345656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-20,0.241010584311518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-21,0.690598774071287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-22,1.7670381587573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-23,1.90963142789753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-24,1.66079219351556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-25,1.48464756693058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-26,1.30011510098441,55.131646280422,1,"SMD","comp","DON","daily","flux",43.7961174539654,3.07680188087254,7.93438679962543,29.952199854583,62.0036593127899
2015-06-27,1.09321506340839,46.1500128605355,1,"SMD","comp","DON","daily","flux",36.8316670561103,2.49479984020323,6.63725373815524,25.2413539817145,52.0536316201877
2015-06-28,1.66358813996929,71.4387310435856,1,"SMD","comp","DON","daily","flux",57.2793631079444,4.30379971251062,10.4887549454613,39.0094324252897,81.3772592976142
2015-06-29,2.39053421793907,103.976567816062,1,"SMD","comp","DON","daily","flux",83.7557873115601,7.11846901105984,15.6937089735001,56.5202648466876,119.905546667945
2015-06-30,2.00469360732434,86.9173913807,1,"SMD","comp","DON","daily","flux",70.3397677985171,5.63825710922008,13.0292028571311,47.6863065993681,100.312952999684
2015-07-01,1.80058951620206,77.9493923479377,1,"SMD","comp","DON","daily","flux",63.3755702065729,4.91550240809738,11.6689552121127,43.0676339663775,90.2014542120326
2015-07-02,1.83973276655428,79.8333895272063,1,"SMD","comp","DON","daily","flux",65.2091611611608,5.10846811881952,12.0280292550255,44.2822827379021,92.8660677697872
2015-07-03,1.64122056833945,71.0753222099649,1,"SMD","comp","DON","daily","flux",58.3254074041183,4.41491794881598,10.6936877138889,39.702213778087,82.8975756731685
2015-07-04,1.41474890558733,61.0547336457168,1,"SMD","comp","DON","daily","flux",50.3353605537873,3.64995972080384,9.16379105637698,34.3586629484421,71.3755198787523
2015-07-05,1.252584011271,53.9003844437447,1,"SMD","comp","DON","daily","flux",44.6437435466348,3.13410018324512,8.08707602387194,30.5331753223428,63.2014492281852
2015-07-06,1.12397047439942,48.2372314204683,1,"SMD","comp","DON","daily","flux",40.1389506342224,2.74355667853392,7.24257757836654,27.4941332237662,56.7515396859162
2015-07-07,1.02052045561142,43.6906547506776,1,"SMD","comp","DON","daily","flux",36.5247366314427,2.44185776016619,6.56992559891845,25.0487309433445,51.5892514264922
2015-07-08,0.945029901360708,40.3841099848556,1,"SMD","comp","DON","daily","flux",33.9175094732093,2.23065167919876,6.08732949215183,23.2807860795291,47.8720185259486
2015-07-09,0.838783936118972,35.7077497787019,1,"SMD","comp","DON","daily","flux",30.129423421476,1.93429210597251,5.39033705535057,20.705963936528,42.4818462597799
2015-07-10,1.06805154532482,45.9686639651402,1,"SMD","comp","DON","daily","flux",38.967731000384,2.64773461608912,7.02528776002924,26.7006581280438,55.0804044204277
2015-07-11,0.972989365898007,40.8624803231184,1,"SMD","comp","DON","daily","flux",35.5682034173402,2.36488790891815,6.39304009426093,24.3998615347971,50.2259084267003
2015-07-12,0.810824471581673,33.0948121365522,1,"SMD","comp","DON","daily","flux",29.579517974377,1.89009893027427,5.28877216959864,20.3327555794655,41.6983951520408
2015-07-13,0.685006881163827,27.1751660544264,1,"SMD","comp","DON","daily","flux",24.9400515345958,1.54509721513871,4.44212516991734,17.1689391433079,35.1146004286548
2015-07-14,0.58994470173701,22.7571859334176,1,"SMD","comp","DON","daily","flux",21.445573541851,1.29858742449764,3.80937906503297,14.7786200371842,30.1682510786462
2015-07-15,0.525637933301222,19.7414179897135,1,"SMD","comp","DON","daily","flux",19.1025532672239,1.13936279629803,3.38731349621799,13.172699502125,26.8573216342605
2015-07-16,0.438963593235595,15.993588567376,1,"SMD","comp","DON","daily","flux",15.8910634857746,0.930611237862359,2.81210391485209,10.966639643409,22.3275404403504
2015-07-17,0.369064931892348,13.0427933089234,1,"SMD","comp","DON","daily","flux",13.3067385111167,0.769608975360115,2.35159943311427,9.187878897006,18.6883989744122
2015-07-18,0.315941949271479,10.8354548147348,1,"SMD","comp","DON","daily","flux",11.3512090978122,0.651453999228528,2.00436485224993,7.84009550348627,15.9378090402826
2015-07-19,0.29357437764164,9.81294583046326,1,"SMD","comp","DON","daily","flux",10.5557318087461,0.602993427368351,1.86299107534522,7.29202436884611,14.8185986685107
