"Date","Discharge.m3s","flux.rate","count","site","model","const","interval","format","Flux","Std.Err","SEP","L95","U95"
2015-06-18,0.360677092531158,268.932381858192,1,"SMD","comp","DO","daily","flux",170.987498442677,16.5468116013496,48.6316934699155,93.9254816606254,287.980212208785
2015-06-19,0.30475816345656,205.624082706452,1,"SMD","comp","DO","daily","flux",143.096895091091,13.8182560169987,40.689104983028,78.6167375639359,240.978775189232
2015-06-20,0.241010584311518,147.205743287535,1,"SMD","comp","DO","daily","flux",112.128486343142,10.847098299271,31.8899150528252,61.595055910028,188.845249873712
2015-06-21,0.690598774071287,388.951878263827,1,"SMD","comp","DO","daily","flux",324.281408315382,31.8486057358198,92.3910531549877,177.942066960622,546.600428323483
2015-06-22,1.7670381587573,934.168279707292,1,"SMD","comp","DO","daily","flux",852.484058077258,99.5168339353439,248.767124019545,460.862521926529,1453.14551803587
2015-06-23,1.90963142789753,918.980926237134,1,"SMD","comp","DO","daily","flux",917.915322883688,109.636471232776,268.863169699789,495.067323681454,1567.44930020756
2015-06-24,1.66079219351556,720.355468972753,1,"SMD","comp","DO","daily","flux",787.549666934365,90.7412668231798,229.342785829166,426.313492024547,1341.14492687778
2015-06-25,1.48464756693058,581.371988743474,1,"SMD","comp","DO","daily","flux",695.697062963084,78.0204593408442,201.758139908821,377.57039413356,1182.41807781128
2015-06-26,1.30011510098441,459.429473925466,1,"SMD","comp","DO","daily","flux",601.755256117853,65.4659731773279,173.743363626069,327.490239130247,1020.62727248895
2015-06-27,1.09321506340839,377.555921198238,1,"SMD","comp","DO","daily","flux",499.285492354681,52.3671636915882,143.433785155201,272.575029076708,844.835989366134
2015-06-28,1.66358813996929,574.967788863967,1,"SMD","comp","DO","daily","flux",767.675708713082,89.1126574465384,223.817736926408,415.248869408301,1308.02566711788
2015-06-29,2.39053421793907,827.246821412898,1,"SMD","comp","DO","daily","flux",1115.15699461985,144.319049026514,331.328292862686,596.010458035167,1917.25068234955
2015-06-30,2.00469360732434,676.799974052919,1,"SMD","comp","DO","daily","flux",921.144707512352,113.234409166995,271.134812871242,495.268184152221,1576.63038368227
