Scenario,BP_density,Res_Density,Actual_RO,RO_prop,CumBP_BSA.km2,CumRes_BSA.km2,CumStream_BSA.km2,CumRpropNetwork,CumRPropBP,CumRPropRes,CumRPropStream,RpropBP,RpropRes,RpropStream,Nremoved_BP.kgyr,Nremoved_Res.kgyr,Nremoved_Stream.kgyr,Nremoved_Total.kgyr
A,0.000000001,0.000000001,5,0.01,5.82589E-10,3.59425E-08,1.074039576,0.999949743,1.09984E-08,1.22952E-07,0.999949609,1.09989E-08,1.22958E-07,0.999999866,2.10521E-06,2.35344E-05,191.4016624,191.401688
A,0.000000001,0.000000001,50,0.1,7.33436E-10,3.59425E-08,1.352135716,0.894794783,3.85686E-09,6.59809E-08,0.894794713,4.31033E-09,7.37386E-08,0.999999922,7.38246E-06,0.000126295,1712.738263,1712.738396
A,0.000000001,0.000000001,500,1,9.23341E-10,3.59425E-08,1.702238013,0.27554067,1.07728E-09,2.15607E-08,0.275540647,3.90968E-09,7.82486E-08,0.999999918,2.06203E-05,0.000412696,5274.159563,5274.159996
A,0.000000001,0.000000001,5000,10,1.16242E-09,3.59425E-08,2.142990691,0.040338102,1.55035E-10,2.59084E-09,0.040338099,3.84339E-09,6.42282E-08,0.999999932,2.96755E-05,0.000495917,7721.168253,7721.168779
A,0.000000001,0.000000001,10000,20,1.24585E-09,3.59425E-08,2.296800553,0.021843729,8.3852E-11,1.31177E-09,0.021843727,3.83872E-09,6.00526E-08,0.999999936,3.21004E-05,0.000502176,8362.272856,8362.273391
B,0.000000001,0.0075,5,0.01,5.82589E-10,0.2695689,0.998277977,1.060228751,1.09984E-08,0.060436941,0.999791799,1.03736E-08,0.057003681,0.942996309,2.10521E-06,11.56831396,191.3714558,202.9397718
B,0.000000001,0.0075,50,0.1,7.33436E-10,0.2695689,1.256757513,1.092274088,3.85686E-09,0.218989718,0.873284366,3.53104E-09,0.200489713,0.799510284,7.38246E-06,419.1710831,1671.565027,2090.736117
B,0.000000001,0.0075,500,1,9.23341E-10,0.2695689,1.582163969,0.403192862,1.07728E-09,0.145206996,0.257985864,2.67186E-09,0.360142776,0.639857222,2.06203E-05,2779.426106,4938.141168,7717.567295
B,0.000000001,0.0075,5000,10,1.16242E-09,0.2695689,1.991826426,0.056650217,1.55035E-10,0.019216865,0.037433352,2.73671E-09,0.339219621,0.660780377,2.96755E-05,3678.325287,7165.166816,10843.49213
B,0.000000001,0.0075,10000,20,1.24585E-09,0.2695689,2.134786706,0.030041696,8.3852E-11,0.00978375,0.020257946,2.79119E-09,0.325672352,0.674327645,3.21004E-05,3745.44072,7755.199977,11500.64073
C,0.000000001,0.005,5,0.01,5.82589E-10,0.1797126,1.023531846,1.060304858,1.09984E-08,0.060434594,0.999870254,1.03728E-08,0.056997375,0.943002614,2.10521E-06,11.56786464,191.3864729,202.9543396
C,0.000000001,0.005,50,0.1,7.33436E-10,0.1797126,1.288550251,1.064872091,3.85686E-09,0.183965746,0.880906341,3.6219E-09,0.172758538,0.827241458,7.38246E-06,352.1312397,1686.154348,2038.285595
C,0.000000001,0.005,500,1,9.23341E-10,0.1797126,1.622188656,0.364161929,1.07728E-09,0.100277322,0.263884606,2.95823E-09,0.27536465,0.724635347,2.06203E-05,1919.421337,5051.049755,6970.471113
C,0.000000001,0.005,5000,10,1.16242E-09,0.1797126,2.042214521,0.051261228,1.55035E-10,0.012858643,0.038402585,3.02441E-09,0.250845393,0.749154604,2.96755E-05,2461.289627,7350.688952,9811.978609
C,0.000000001,0.005,10000,20,1.24585E-09,0.1797126,2.188791329,0.027321415,8.3852E-11,0.006534587,0.020786828,3.06909E-09,0.239174547,0.76082545,3.21004E-05,2501.587714,7957.667817,10459.25556
