Scenario,Actual_RO,RO_Prop,Order,BP.Rord,Res.Rord,Stream.Rord,Total.Rord
A,5,0.01,1,2.27891E-09,0,0.496342754,0.496342757
A,5,0.01,2,2.03162E-09,0,0.212506874,0.212506877
A,5,0.01,3,2.22701E-09,0,0.139286725,0.139286727
A,5,0.01,4,2.18005E-09,0,0.091473904,0.091473906
A,5,0.01,5,2.28132E-09,1.22958E-07,0.060389609,0.060389734
A,5,0.01,cum,1.09989E-08,1.22958E-07,0.999999866,1
A,50,0.1,1,3.20614E-10,0,0.232996919,0.23299692
A,50,0.1,2,6.21892E-10,0,0.220215928,0.220215929
A,50,0.1,3,8.62416E-10,0,0.197058326,0.197058327
A,50,0.1,4,1.02035E-09,0,0.168791044,0.168791045
A,50,0.1,5,1.48506E-09,7.37386E-08,0.180937704,0.180937779
A,50,0.1,cum,4.31033E-09,7.37386E-08,0.999999922,1
A,500,1,1,1.31075E-10,0,0.119054882,0.119054882
A,500,1,2,3.38104E-10,0,0.152932961,0.152932961
A,500,1,3,6.07168E-10,0,0.182215107,0.182215108
A,500,1,4,9.44815E-10,0,0.211557516,0.211557517
A,500,1,5,1.88852E-09,7.82486E-08,0.334239452,0.334239533
A,500,1,cum,3.90968E-09,7.82486E-08,0.999999918,1
A,5000,10,1,1.12717E-10,0,0.105435734,0.105435734
A,5000,10,2,3.0247E-10,0,0.141392013,0.141392013
A,5000,10,3,5.65535E-10,0,0.17613484,0.176134841
A,5000,10,4,9.21298E-10,0,0.215058473,0.215058474
A,5000,10,5,1.94137E-09,6.42282E-08,0.361978872,0.361978938
A,5000,10,cum,3.84339E-09,6.42282E-08,0.999999932,1
A,10000,20,1,1.11546E-10,0,0.104546079,0.104546079
A,10000,20,2,3.00126E-10,0,0.140607451,0.140607451
A,10000,20,3,5.62703E-10,0,0.175691054,0.175691055
A,10000,20,4,9.1957E-10,0,0.215259761,0.215259762
A,10000,20,5,1.94478E-09,6.00526E-08,0.363895592,0.363895654
A,10000,20,cum,3.83872E-09,6.00526E-08,0.999999936,1
B,5,0.01,1,2.14934E-09,0,0.468123326,0.468123328
B,5,0.01,2,1.91611E-09,0,0.200424856,0.200424858
B,5,0.01,3,2.10039E-09,0,0.131367617,0.131367619
B,5,0.01,4,2.0561E-09,0,0.086273181,0.086273183
B,5,0.01,5,2.15161E-09,0.057003681,0.056807329,0.113811012
B,5,0.01,cum,1.03736E-08,0.057003681,0.942996309,1
B,50,0.1,1,2.62648E-10,0,0.190871898,0.190871898
B,50,0.1,2,5.09456E-10,0,0.180401665,0.180401665
B,50,0.1,3,7.06494E-10,0,0.161430876,0.161430876
B,50,0.1,4,8.35873E-10,0,0.138274218,0.138274219
B,50,0.1,5,1.21656E-09,0.200489713,0.128531628,0.329021342
B,50,0.1,cum,3.53104E-09,0.200489713,0.799510284,1
B,500,1,1,8.95762E-11,0,0.081361713,0.081361713
B,500,1,2,2.31059E-10,0,0.10451388,0.10451388
B,500,1,3,4.14937E-10,0,0.124525202,0.124525203
B,500,1,4,6.45684E-10,0,0.144577708,0.144577708
B,500,1,5,1.29061E-09,0.360142776,0.184878719,0.545021496
B,500,1,cum,2.67186E-09,0.360142776,0.639857222,1
B,5000,10,1,8.02607E-11,0,0.0750761,0.0750761
B,5000,10,2,2.15375E-10,0,0.100678968,0.100678968
B,5000,10,3,4.02693E-10,0,0.125417791,0.125417791
B,5000,10,4,6.56016E-10,0,0.15313358,0.15313358
B,5000,10,5,1.38236E-09,0.339219621,0.206473939,0.545693561
B,5000,10,cum,2.73671E-09,0.339219621,0.660780377,1
B,10000,20,1,8.11066E-11,0,0.076016886,0.076016886
B,10000,20,2,2.18226E-10,0,0.102237603,0.102237603
B,10000,20,3,4.09149E-10,0,0.127747372,0.127747372
B,10000,20,4,6.68632E-10,0,0.15651832,0.156518321
B,10000,20,5,1.41407E-09,0.325672352,0.211807464,0.537479818
B,10000,20,cum,2.79119E-09,0.325672352,0.674327645,1
C,5,0.01,1,0.35924232,0,0.423786896,0.783029216
C,5,0.01,2,-0.098997692,0,-0.099193315,-0.198191007
C,5,0.01,3,0.15700955,0,0.156258739,0.313268289
