"Date","Discharge.cfs","Site","Discharge.m3s","Discharge.ls","Date2"
2016-01-01,78.4,"SMD",2.22003868077599,2220.03868077599,"20160101"
2016-01-02,70.6,"SMD",1.99916748549471,1999.16748549471,"20160102"
2016-01-03,59.3,"SMD",1.67918742053592,1679.18742053592,"20160103"
2016-01-04,48.4,"SMD",1.37053408354028,1370.53408354028,"20160104"
2016-01-05,45.7,"SMD",1.29407866978907,1294.07866978907,"20160105"
2016-01-06,32.5,"SMD",0.920296647005355,920.296647005355,"20160106"
2016-01-07,8.04,"SMD",0.227667232059171,227.667232059171,"20160107"
2016-01-08,6.94,"SMD",0.196518730160528,196.518730160528,"20160108"
2016-01-09,19.4,"SMD",0.549346306212427,549.346306212427,"20160109"
2016-01-10,53.5,"SMD",1.51494986507035,1514.94986507035,"20160110"
2016-01-11,148,"SMD",4.19088934636285,4190.88934636285,"20160111"
2016-01-12,100,"SMD",2.83168199078571,2831.68199078571,"20160112"
2016-01-13,104,"SMD",2.94494927041713,2944.94927041713,"20160113"
2016-01-14,87.1,"SMD",2.46639501397435,2466.39501397435,"20160114"
2016-01-15,72.4,"SMD",2.05013776132885,2050.13776132885,"20160115"
2016-01-16,75.4,"SMD",2.13508822105242,2135.08822105242,"20160116"
2016-01-17,88.2,"SMD",2.49754351587299,2497.54351587299,"20160117"
2016-01-18,77.2,"SMD",2.18605849688657,2186.05849688657,"20160118"
2016-01-19,83.3,"SMD",2.35879109832449,2358.79109832449,"20160119"
2016-01-20,77.8,"SMD",2.20304858883128,2203.04858883128,"20160120"
2016-01-21,49.6,"SMD",1.40451426742971,1404.51426742971,"20160121"
2016-01-22,37.1,"SMD",1.0505540185815,1050.5540185815,"20160122"
2016-01-23,34.3,"SMD",0.971266922839497,971.266922839497,"20160123"
2016-01-24,28.8,"SMD",0.815524413346284,815.524413346284,"20160124"
2016-01-25,23.2,"SMD",0.656950221862284,656.950221862284,"20160125"
2016-01-26,20,"SMD",0.566336398157141,566.336398157141,"20160126"
2016-01-27,24.7,"SMD",0.69942545172407,699.42545172407,"20160127"
2016-01-28,28.5,"SMD",0.807029367373926,807.029367373926,"20160128"
2016-01-29,27.2,"SMD",0.770217501493712,770.217501493712,"20160129"
2016-01-30,26.3,"SMD",0.744732363576641,744.732363576641,"20160130"
2016-01-31,25.7,"SMD",0.727742271631927,727.742271631927,"20160131"
2016-02-01,28.9,"SMD",0.818356095337069,818.356095337069,"20160201"
2016-02-02,31.6,"SMD",0.894811509088283,894.811509088283,"20160202"
2016-02-03,29,"SMD",0.821187777327855,821.187777327855,"20160203"
2016-02-04,36.6,"SMD",1.03639560862757,1036.39560862757,"20160204"
2016-02-05,45.7,"SMD",1.29407866978907,1294.07866978907,"20160205"
2016-02-06,51.9,"SMD",1.46964295321778,1469.64295321778,"20160206"
2016-02-07,49.3,"SMD",1.39601922145735,1396.01922145735,"20160207"
2016-02-08,47.3,"SMD",1.33938558164164,1339.38558164164,"20160208"
