Sample,Site,Location,Date,Time,CArea.km2,Cond.uScm,Sp_Cond.uScm,Temp.C,DO.mgL,DO.pct,TSS.mgL,Chl.mgL,PO4.ugL,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DON.mgL,TDP.mgL,Q_est.m3s
MR,ID,UP_2,6/18/15,12:00,48.3,351.8,396,19.3,5.77,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166638355
ID,ID,OUT,6/18/15,12:15,387.5,413.1,449.1,20.9,8.99,100.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.491278579
ID_UP,ID,UP_1,6/18/15,12:45,337.8,413.9,454.6,20.4,3.8,97.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.300010075
SMD_UP,SMD,UP,6/18/15,14:30,111.9,529,576,20.7,6.94,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357418212
SMD_OUT,SMD,OUT,6/18/15,15:30,113.8,525,571,20.7,8.63,96.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363486975
PD,PD,OUT,6/18/15,16:10,63.9,276,293,21.3,8.02,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328035446
WB,PD,UP_2,6/18/15,16:20,6,561,654,18.2,9.65,102.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03080145
PD_Larkin,PD,NA,6/18/15,16:30,NA,224.7,243,21,8.84,99.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289533633
PD_UP,PD,UP_1,6/18/15,16:45,55.7,214.4,231.7,21.2,9.06,102.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283168
MR,ID,UP_2,6/26/15,10:00,48.3,363,386.6,20.5,2.88,31.9,2.166666667,NA,15.365,16.0802002,61.5013,0.0426,0.6169,0.0126,6.012833971,0.355386738,0.296706538,NA,0.321915004
ID,ID,OUT,6/26/15,10:25,387.5,392.8,415.1,20.8,6.83,76.1,1.75,0.001439,15.865,16.16760063,96.2436,0.0531,1.0819,0.0409,8.76299759,0.466999565,0.397731964,NA,2.880879073
ID_UP,ID,UP_1,6/26/15,10:55,337.8,393.6,420,21.7,7.34,83.4,2.5,NA,13.631,12.49279976,97.6501,0.0388,1.014,0.0515,8.260883515,0.413194005,0.361901205,NA,2.511383099
SMD_OUT,SMD,OUT,6/26/15,11:40,113.8,458.8,485.9,22.2,4.09,46.9,1.833333333,0.003357667,17.784,44.33190155,122.7216,0.0915,1.2674,0.0526,12.23079457,0.626632876,0.490800974,NA,1.314145219
SMD_UP,SMD,UP,6/26/15,12:15,111.9,464.8,493,22.2,5.13,58.8,3,NA,14.824,33.62129974,125.3203,0.0673,1.2824,0.0564,11.7722429,0.587050774,0.486129474,NA,1.292204306
PD,PD,OUT,6/26/15,13:40,63.9,288.2,298.2,23.1,5.8,67.9,2.714285714,0.003357667,8.248,54.33679962,60.2365,0.1111,1.0723,0.0345,8.017851132,0.503971858,0.338535058,NA,0.393642535
PD_Larkin,PD,NA,6/26/15,13:50,NA,228.6,239.9,22.5,7.03,81,3.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34744036
WB,PD,UP_2,6/26/15,13:50,6,570,661,18.5,7.21,76.5,2.333333333,NA,4.238,51.75159836,174.1384,1.3851,3.6353,0.038,4.114430073,1.545720574,0.108868975,NA,0.03696174
PD_UP,PD,UP_1,6/26/15,14:10,55.7,224.1,234.5,22.6,8.71,100.7,2.833333333,NA,20.201,34.46820068,44.2847,0.0774,0.9917,0.0288,6.668562854,0.441988897,0.330120696,NA,0.3398016
MR,ID,UP_2,7/10/15,10:35,48.3,335,365,20.8,1.99,22.3,3.6,NA,10.198,2.329099894,81.3346,0.0291,0.6398,0.0448,7.720938928,0.382963719,0.351534619,NA,0.306766062
ID,ID,OUT,7/10/15,10:55,387.5,401,418,22.8,4.58,52.7,2.142857143,0.00107925,13.134,20.28980064,92.4679,0.0584,0.8415,0.0445,10.9468499,0.568782112,0.490092311,NA,2.745308293
ID_UP,ID,UP_1,7/10/15,11:15,337.8,407,428,22.5,5.71,65.8,2.857142857,NA,7.522,23.72100067,94.1895,0.0578,0.6065,0.0519,11.41686536,0.623588099,0.542067098,NA,2.393200365
SMD_OUT,SMD,OUT,7/10/15,12:15,113.8,512,535,22.8,3.27,38.3,4,0.0040292,10.586,39.76490021,129.1714,0.127,1.0534,0.061,11.27012883,0.664910073,0.498145173,NA,1.06250039
SMD_UP,SMD,UP,7/10/15,12:40,111.9,508,532,22.6,9.7,103,5.714285714,,9.086,42.81750107,127.873,0.1489,1.124,0.0622,10.96519197,0.640986825,0.449269323,NA,1.044760928
PD,PD,OUT,7/10/15,13:55,63.9,270,286,22.1,4.14,47.6,0.571428571,0.001644571,7.902,32.42860031,55.5384,0.0881,1.0071,0.0373,7.631521353,0.494837527,0.374308926,NA,0.557660258
