Sample,Site,Location,Date,Time,CArea.km2,Cond.uScm,Sp_Cond.uScm,Temp.C,DO.mgL,DO.pct,pH,TSS.mgL,Chl.mgL,UNH_ID,PO4.ugL,NH4.ugL,Cl.mgL,NO3.mgL,SO4.mgL,Br.mgL,DOC.mgL,TDN.mgL,DIN.mgL,DON.mgL,TDP.mgL,Q_est.m3s,CH4.mM,CH4.uatm,N2O.mM,N2O.uatm,CO2.ppm,Gas_Flag,AFDM.pct,AFDM.mgL,Ash.pct,Ash.mgL,PC.mgL,PN.mgL,TN.mgL,NAr_sat,NAr_calc.A,NAr_calc.B,NAr_calc.C,NArcalc.mean,N2.mM.A,N2.mM.B,N2.mM.C,N2.mM.mean,Notes
MR,ID,UP_2,6/18/2015,12:00,43.3,351.8,396,19.3,5.77,62.4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166638355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,ID,OUT,6/18/2015,12:15,387.5,413.1,449.1,20.9,8.99,100.6,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.491278579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID_UP,ID,UP_1,6/18/2015,12:45,337.8,413.9,454.6,20.4,3.8,97.4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.300010075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_UP,SMD,UP,6/18/2015,14:30,111.9,529,576,20.7,6.94,77.4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357418212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMD_OUT,SMD,OUT,6/18/2015,15:30,113.8,525,571,20.7,8.63,96.3,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363486975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD,PD,OUT,6/18/2015,16:10,63.9,276,293,21.3,8.02,90.5,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328035446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WB,PD,UP_2,6/18/2015,16:20,6,561,654,18.2,9.65,102.2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03080145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_Larkin,PD,NA,6/18/2015,16:30,NA,224.7,243,21,8.84,99.2,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289533633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PD_UP,PD,UP_1,6/18/2015,16:45,55.7,214.4,231.7,21.2,9.06,102.1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH_OUT,LH,OUT,6/19/2015,14:15,1.113657,404.9,432.7,21.7,8.8,104,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003421177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH_IN,LH,UP,6/19/2015,14:30,1.061859,404.4,464.4,18.3,8.7,92.6,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003549881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH_EDGE,LH,NA,6/19/2015,14:42,0.647475,349.6,404.3,17.9,7.3,77.5,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002223063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTEB,BRDS,UP_2,6/19/2015,14:53,2.51,1044,1141,20.5,8.8,98,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009071496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRDS,BRDS,UP_1,6/19/2015,15:10,4.9014,415.2,454.1,20.5,8.3,91.7,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018600072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRDS_OUT,BRDS,OUT,6/19/2015,15:24,8.32,617,616,25.1,11.9,143,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033076625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMPD,OMPD,OUT,6/19/2015,15:33,50.59,303.6,304.2,24.9,7.8,86.4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20112337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAM,OMPD,UP_3,6/19/2015,15:43,1.7364,391.1,426.4,21.1,7.4,83.5,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006903155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMPD_IN,OMPD,UP_1,6/19/2015,16:02,43.173633,246.3,270.7,20.3,8.6,95.7,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175540079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLGB,OMPD,UP_2,6/19/2015,16:09,2.006,1241,1388,19.4,7.4,80,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008518713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMPD,LMPD,OUT,6/19/2015,16:25,475.3,179.5,187.5,22.8,9,103.9,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.179749456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMPD_IN,LMPD,UP,6/19/2015,16:50,471.2,183.6,194.3,22.2,8.9,102.5,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.169572782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCLN_IN,MCLN,UP_1,6/19/2015,17:10,480.037965,181.1,186.7,23.4,9.5,110.9,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.191509632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sidetrib_IN,MCLN,UP_3,6/19/2015,17:16,1.735233,131.9,137.1,23,9.1,106.4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004307049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piscassic,MCLN,UP_2,6/19/2015,17:26,56.9778,209.7,222.8,20.8,8.6,96.4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141425476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCLN_OUT,MCLN,OUT,6/19/2015,17:33,549.0588,182.4,185.6,23.5,8.9,104.4,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36282731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH_OUT,LH,OUT,6/24/2015,9:40,1.113657,218.1,243.6,19.5,7.41,81.8,NA,6.714285714,0.005756,136981,11.018,34.01449966,44.4831,0.0813,1.4308,0.006,7.162652274,0.379309986,0.1153145,0.263995487,NA,0.015093428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH_IN,LH,UP,6/24/2015,10:00,1.061859,314.8,372.5,16.9,9.34,96.8,NA,3.714285714,NA,136997,12.808,26.87000084,76.8915,0.3388,2.3105,0.0164,4.913456351,0.555733067,0.365670001,0.190063067,NA,0.014391408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
