"Date","Site","Year","Sample.UP","Location.UP","Time.UP","CArea.km2.UP","Cond.uScm.UP","Sp_Cond.uScm.UP","Temp.C.UP","DO.mgL.UP","DO.pct.UP","TSS.mgL.UP","Chl.mgL.UP","PO4.ugL.UP","NH4.ugL.UP","Cl.mgL.UP","NO3.mgL.UP","SO4.mgL.UP","Br.mgL.UP","DOC.mgL.UP","TDN.mgL.UP","DIN.mgL.UP","DON.mgL.UP","TDP.mgL.UP","Q_est.m3s.UP","CH4.mM.UP","CH4.uatm.UP","N2O.mM.UP","N2O.uatm.UP","Gas_Flag.UP","AFDM.pct.UP","AFDM.mgL.UP","Ash.pct.UP","Ash.mgL.UP","PC.mgL.UP","PN.mgL.UP","TN.mgL.UP","DateTime.UP","DateTime2.UP","DO.mgLCA.UP","DO.pctCA.UP","TSSCA.UP","ChlCA.UP","PO4CA.UP","NH4CA.UP","ClCA.UP","NO3CA.UP","SO4CA.UP","BrCA.UP","DOCCA.UP","TDNCA.UP","DONCA.UP","DINCA.UP","TDPCA.UP","N2OCA.UP","CH4CA.UP","AFDM.mgLCA.UP","Ash.mgLCA.UP","PCCA.UP","PNCA.UP","TNCA.UP","Sample.OUT","Location.OUT","Time.OUT","CArea.km2.OUT","Cond.uScm.OUT","Sp_Cond.uScm.OUT","Temp.C.OUT","DO.mgL.OUT","DO.pct.OUT","TSS.mgL.OUT","Chl.mgL.OUT","PO4.ugL.OUT","NH4.ugL.OUT","Cl.mgL.OUT","NO3.mgL.OUT","SO4.mgL.OUT","Br.mgL.OUT","DOC.mgL.OUT","TDN.mgL.OUT","DIN.mgL.OUT","DON.mgL.OUT","TDP.mgL.OUT","Q_est.m3s.OUT","CH4.mM.OUT","CH4.uatm.OUT","N2O.mM.OUT","N2O.uatm.OUT","Gas_Flag.OUT","AFDM.pct.OUT","AFDM.mgL.OUT","Ash.pct.OUT","Ash.mgL.OUT","PC.mgL.OUT","PN.mgL.OUT","TN.mgL.OUT","DateTime.OUT","DateTime2.OUT","DO.mgLCA.OUT","DO.pctCA.OUT","TSSCA.OUT","ChlCA.OUT","PO4CA.OUT","NH4CA.OUT","ClCA.OUT","NO3CA.OUT","SO4CA.OUT","BrCA.OUT","DOCCA.OUT","TDNCA.OUT","DONCA.OUT","DINCA.OUT","TDPCA.OUT","N2OCA.OUT","CH4CA.OUT","AFDM.mgLCA.OUT","Ash.mgLCA.OUT","PCCA.OUT","PNCA.OUT","TNCA.OUT","Time","Discharge.m3s","HL.myr","RCl","RNO3","RSO4","RBr","RDOC","RTDN","RDON","RDIN","RTDP","RDO.mgL","RDO.pct","RTSS","RChl","RPO4","RNH4","RN2O","RCH4","RAFDM.mgL","RAsh.mgL","RPC","RPN","RTN","RFlag","PDIN.UP","PDIN.OUT","PDON.UP","PDON.OUT","PPN.UP","PPN.OUT","cTN","cDIN","cDON","VfNO3","Ntrans","Date3","Time2.UP","Time2.OUT"
2015-06-18,"SMD","2015","SMD_UP","UP","14:30",111.9,529,576,20.7,6.94,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357418212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 13:30:00,2015-06-18 13:30:00,776.586,8661.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMD_OUT","OUT","15:30",113.8,525,571,20.7,8.63,96.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363486975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-06-18 14:30:00,2015-06-18 14:30:00,982.094,10958.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365286976811356,258.242694151787,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.264630060289524,-0.265311636220047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20150618","1430","1530"
2015-06-26,"SMD","2015","SMD_UP","UP","12:15",111.9,464.8,493,22.2,5.13,58.8,3,NA,14.824,33.62129974,125.3203,0.0673,1.2824,0.0564,11.7722429,0.587050774,0.1009213,0.486129474,NA,1.292204306,0.963282169,23.43655934,NA,NA,3,90.12155453,2.703646636,9.878445472,0.296353364,0.896701749,0.07652004,0.663570814,2015-06-26 11:15:00,2015-06-26 11:15:00,574.047,6579.72,335.7,NA,1658.8056,3762.223440906,14023.34157,7.53087,143.50056,6.31116,1317.31398051,65.6909816106,54.3978881406,11.29309347,NA,NA,2622.550990146,302.5380585684,33.1619414316,100.3409257131,8.562592476,74.2535740866,"SMD_OUT","OUT","11:40",113.8,458.8,485.9,22.2,4.09,46.9,1.833333333,0.003357667,17.784,44.33190155,122.7216,0.0915,1.2674,0.0526,12.23079457,0.626632876,0.135831902,0.490800974,NA,1.314145219,1.430334231,34.79988953,NA,NA,3,100,1.833333333,0,0,0.716280357,0.062767857,0.689400733,2015-06-26 10:40:00,2015-06-26 10:45:00,465.442,5337.22,208.6333332954,0.3821025046,2023.8192,5044.97039639,13965.71808,10.4127,144.23012,5.98588,1391.864422066,71.3108212888,55.8531508412,15.4576704476,NA,NA,3960.227428514,208.6333332954,0,81.5127046266,7.1429821266,78.4538034154,NA,1.31673212571535,930.874827756443,0.00410911263284602,-0.382668934664919,-0.00508402197176089,0.051540445813448,-0.0565927657786928,-0.0855496377191166,-0.0267521911298953,-0.368772027670112,NA,0.189191825756428,0.18883782288608,0.378512560931189,NA,-0.22004603794441,-0.340954484929554,NA,-0.510066894178302,0.310389792667257,1,0.187642489370037,0.165792118844732,-0.0565660223156584,0,15.2088214054574,19.7028949198985,73.2596225969637,71.1924067536493,11.5315559975789,9.10469832645217,-0.0258299190000001,-0.034910602,-0.0046715,-301.618004941932,37.7034908513224,"20150626","1215","1140"
2015-07-10,"SMD","2015","SMD_UP","UP","12:40",111.9,508,532,22.6,9.7,103,5.714285714,NA,9.086,42.81750107,127.873,0.1489,1.124,0.0622,10.96519197,0.640986825,0.191717501,0.449269324,NA,1.044760928,NA,NA,NA,NA,NA,61.41949153,3.50968523,38.58050847,2.204600484,1.225225714,0.097149116,0.738135941,2015-07-10 11:40:00,2015-07-10 11:45:00,1085.43,11525.7,639.4285713966,NA,1016.7234,4791.278369733,14308.9887,16.66191,125.7756,6.96018,1227.004981443,71.7264257175,50.2732373556,21.4531883619,NA,NA,NA,392.733777237,246.6947941596,137.1027573966,10.8709860804,82.5974117979,"SMD_OUT","OUT","12:15",113.8,512,535,22.8,3.27,38.3,4,0.0040292,10.586,39.76490021,129.1714,0.127,1.0534,0.061,11.27012883,0.664910073,0.1667649,0.498145173,NA,1.06250039,NA,NA,NA,NA,NA,73.18906376,2.92756255,26.81093624,1.07243745,0.977238064,0.09153126,0.756441333,2015-07-10 11:15:00,2015-07-10 11:15:00,372.126,4358.54,455.2,0.45852296,1204.6868,4525.245643898,14699.70532,14.4526,119.87692,6.9418,1282.540660854,75.6667663074,56.6889206874,18.97784562,NA,NA,NA,333.15661819,122.04338181,111.2096916832,10.416257388,86.0830236954,NA,1.08170252048014,764.718675705293,-0.0273056767456948,0.132596443024839,0.0468984445313721,0.00264073630279684,-0.0452611686593875,-0.0549356886319602,-0.127616275960501,0.115383443250613,NA,0.657162599154252,0.62184162350226,0.288114387810697,NA,-0.184871716338977,0.0555243726842416,NA,NA,0.151698586931186,0.505285945632709,0.188858825344399,0.0418295717644105,-0.0422000135552506,0,25.9731968531797,22.0459793410046,60.8653906476016,65.8537749417244,13.1614124992188,12.100245717271,-0.018305392,0.024952601,-0.048875849,108.781955698325,74.3492322462254,"20150710","1240","1215"
2015-07-24,"SMD","2015","SMD_UP","UP","12:25",111.9,625,643,23.5,3.94,46.5,1.875,NA,7.813,22.47699928,168.0769,0.3921,1.6674,0.0975,8.50255382,0.704679229,0.414576999,0.29010223,NA,0.140217914,0.995924804,23.94472227,NA,NA,3,81.6,1.53,18.4,0.345,0.433205769,0.045017308,0.749696537,2015-07-24 11:25:00,2015-07-24 11:30:00,440.886,5203.35,209.8125,NA,874.2747,2515.176219432,18807.80511,43.87599,186.58206,10.91025,951.435772458,78.8536057251,32.462439537,46.3911661881,NA,NA,2679.414422013,171.207,38.6055,48.4757255511,5.0374367652,83.8910424903,"SMD_OUT","OUT","12:45",113.8,612,623,24.1,4.74,56.7,2.125,0.005756,7.857,13.60429955,162.9087,0.2369,1.5156,0.0993,8.545195229,0.581851185,0.2505043,0.331346885,NA,0.142598737,1.744280398,41.93721207,NA,NA,3,78.60962567,1.670454545,21.39037433,0.454545455,0.5846925,0.0689325,0.650783685,2015-07-24 11:45:00,2015-07-24 11:45:00,539.412,6452.46,241.825,0.6550328,894.1266,1548.16928879,18539.01006,26.95922,172.47528,11.30034,972.4432170602,66.214664853,37.707275513,28.50738934,NA,NA,4772.454733566,190.097727221,51.727272779,66.5380065,7.8445185,74.059183353,NA,0.142150435937442,100.494443770695,0.0142916756329575,0.385558707621184,0.0756063042716969,-0.0357544510895716,-0.0220797296153035,0.16028361361384,-0.161566291714523,0.385499618086502,NA,-0.223472734448361,-0.240058808267751,-0.152576705391719,NA,-0.0227067076286206,0.384468858750731,NA,-0.781155872849461,-0.110338521327983,-0.33989386950046,-0.372604654052261,-0.557244063923957,0.117197961134371,0,55.2993082586428,38.4927135965309,38.6959543872083,50.9150571283913,6.00473735414894,10.5922292750778,0.0989128520000001,0.164072699,-0.041244655,48.9450040053676,186.462014983679,"20150724","1225","1245"
2015-08-07,"SMD","2015","SMD_UP","UP","12:15",111.9,630,668,22.3,3.53,40.6,2.125,NA,23.092,19.5734,176.4637,0.3132,2.431,0.2603,9.681939,0.701653,0.3327734,0.3688796,102.73,0.118222947,NA,NA,NA,NA,NA,69.71867008,1.481521739,30.28132992,0.643478261,0.365939172,0.03675847,0.73841147,2015-08-07 11:15:00,2015-08-07 11:15:00,395.007,4543.14,237.7875,NA,2583.9948,2190.26346,19746.28803,35.04708,272.0289,29.12757,1083.4089741,78.5149707,41.27762724,37.23734346,11495.487,NA,NA,165.7822825941,72.0052174059,40.9485933468,4.113272793,82.628243493,"SMD_OUT","OUT","11:45",113.8,649,676,22.5,4.14,48.2,2.75,NA,11.324,12.7609,180.9222,0.1003,1.9136,0.2399,10.246666,0.551883,0.1130609,0.4388221,47.72,0.120230307,NA,NA,NA,NA,NA,44.67864994,1.228662873,55.32135006,1.521337127,0.472734573,0.045082916,0.596965916,2015-08-07 10:45:00,2015-08-07 10:45:00,471.132,5485.16,312.95,NA,1288.6712,1452.19042,20588.94636,11.41414,217.76768,27.30062,1166.0705908,62.8042854,49.93795498,12.86633042,5430.536,NA,NA,139.8218349474,173.1281650526,53.7971944074,5.1304358408,67.9347212408,NA,0.118930643613,84.0790167005819,-0.0426742650932555,0.674319800679543,0.199468585874516,0.0627223623529186,-0.0762977035229636,0.200097957879006,-0.20980682076628,0.654477757420561,0.527594089750178,-0.192718103729807,-0.207349982611145,-0.316091047679125,NA,0.501287231692571,0.336979113919017,NA,NA,0.15659361929683,-1.4043836167685,-0.313773929956109,-0.247288011028837,0.177826874093539,0,45.0661201132209,18.9392554867404,49.9558328908407,73.5087361336053,4.97804699593846,7.55200837965429,0.141445554,0.2197125,-0.0699425,94.3231505180796,69.8411560381558,"20150807","1215","1145"
2015-08-26,"SMD","2015","SMD_UP","UP","13:15",111.9,670,678,24.6,5.19,62.3,4.223602484,NA,12.124,10.0134,178.9598,0.1631,4.2069,0.1801,8.110794,0.525797,0.1731134,0.3526836,21.46,0.219949669,NA,NA,NA,NA,NA,42.08344131,1.777437273,57.91655869,2.446165212,0.605825406,0.049322117,0.575119117,2015-08-26 12:15:00,2015-08-26 12:15:00,580.761,6971.37,472.6211179596,NA,1356.6756,1120.49946,20025.60162,18.25089,470.75211,20.15319,907.5978486,58.8366843,39.46529484,19.37138946,2401.374,NA,NA,198.8952308487,273.7258872228,67.7918629314,5.5191448923,64.3558291923,"SMD_OUT","OUT","12:30",113.8,602,606,25.2,5.97,72.7,2.75,NA,10.432,4.867004,167.6596,0.0937,3.648,0.2888,8.268277,0.51995,0.098567004,0.421382996,15.99,0.223684293,NA,NA,NA,NA,NA,54.70355731,1.504347826,45.29644269,1.245652174,0.46916902,0.047363112,0.567313112,2015-08-26 11:30:00,2015-08-26 11:30:00,679.386,8273.26,312.95,NA,1187.1616,553.8650552,19079.66248,10.66306,415.1424,32.86544,940.9299226,59.17031,47.9533849448,11.2169250552,1819.662,NA,NA,171.1947825988,141.7552174012,53.391434476,5.3899221456,64.5602321456,NA,0.220021690684049,155.546180896077,0.0472364904660478,0.415751231857734,0.118129497072249,-0.630781032680186,-0.036725598293799,-0.0056703688178431,-0.215077326527329,0.420954027156295,0.242241316846106,-0.169820287519306,-0.186748085383504,0.337841691562434,NA,0.124948071595008,0.505698061469838,NA,NA,0.13927155584224,0.482127105918126,0.212421193823396,0.0234135448917611,-0.00317613735795763,0,30.1004426531695,17.3743567555689,61.3235744691825,74.2769710565054,8.57598287764794,8.34867218792574,0.00780600499999995,0.074546396,-0.068699396,83.5949373040173,45.5308107943117,"20150826","1315","1230"
2015-09-16,"SMD","2015","SMD_UP","UP","13:15",111.9,670,751,19.4,3.81,41.5,2.375,NA,8.956,20.957001,195.5365,0.0351,2.4493,0.2202,8.551256,0.447989,0.056057001,0.391931999,45.27,NA,NA,NA,0.05559656,NA,1,53.76554313,1.276931649,46.23445687,1.098068351,0.411838942,0.040251068,0.488240068,2015-09-16 12:15:00,2015-09-16 12:15:00,426.339,4643.85,265.7625,NA,1002.1764,2345.0884119,21880.53435,3.92769,274.07667,24.64038,956.8855464,50.1299691,43.8571906881,6.2727784119,5065.713,NA,NA,142.8886515231,122.8738484769,46.0847776098,4.5040945092,54.6340636092,"SMD_OUT","OUT","13:30",113.8,668,715,21.6,7.34,83.5,2.133333333,NA,9.387,4.4201,194.7333,0.0057,2.6785,0.0607,8.8896,0.427165,0.0101201,0.4170449,19.14,NA,NA,NA,0.055811169,NA,1,60.73943662,1.295774648,39.26056338,0.837558685,0.421936716,0.047482985,0.474647985,2015-09-16 12:30:00,2015-09-16 12:30:00,835.292,9502.3,242.7733332954,NA,1068.2406,503.00738,22160.64954,0.64866,304.8133,6.90766,1011.63648,48.611377,47.45970962,1.15166738,2178.132,NA,NA,147.4591549424,95.314178353,48.0163982808,5.403563693,54.014940693,NA,0.0566336398157141,40.0376270002771,-0.0128020269303889,0.834849491685953,-0.112146101308076,0.719660979254378,-0.0572178499361643,0.0302930986646071,-0.0821420358982887,0.816402349265967,0.570024594760896,-0.959220244922467,-1.04621165627658,0.086502673268802,NA,-0.0659207301229605,0.785506005894054,NA,NA,-0.0319864689783367,0.224292397979877,-0.0419145056390428,-0.199700335319953,0.0113321776800024,0,11.481442158082,2.13212745441235,80.2744438008721,87.8640409692248,8.24411404104589,10.0038315763628,0.013592083,0.045936901,-0.025112901,72.103684361677,34.5224841001068,"20150916","1315","1330"
2015-10-02,"SMD","2015","SMD_UP","UP","13:00",111.9,398.1,485.5,15.6,5.08,51,3.75,NA,24.791,24.2197,117.9264,0.0993,10.1431,0.1805,9.825889,0.532544,0.1235197,0.4090243,39.6,NA,0.474999171,11.45924004,0.32999414,NA,NA,67.54643206,2.532991202,32.45356794,1.217008798,0.948545571,0.105698321,0.638242321,2015-10-02 12:00:00,2015-10-02 12:00:00,568.452,5706.9,419.625,NA,2774.1129,2710.18443,13195.96416,11.11167,1135.01289,20.19795,1099.5169791,59.5916736,45.76981917,13.82185443,4431.24,NA,1282.288960476,283.4417155038,136.1832844962,106.1422493949,11.8276421199,71.4193157199,"SMD_OUT","OUT","12:00",113.8,379.6,458.2,16.1,4.7,47.7,2.714285714,NA,19.897,20.071301,104.8576,0.1882,9.4718,0.1558,9.378045,0.599558,0.208271301,0.391286699,5.25,NA,0.490038985,11.82207192,0.324152901,NA,NA,71.94736842,1.952857143,28.05263158,0.761428571,0.681948254,0.07837779,0.67793579,2015-10-02 11:00:00,2015-10-02 11:00:00,534.86,5428.26,308.8857142532,NA,2264.2786,2284.1140538,11932.79488,21.41716,1077.89084,17.73004,1067.221521,68.2297004,44.5284263462,23.7012740538,597.45,NA,1345.351784496,222.2351428734,86.6505713798,77.6057113052,8.919392502,77.149092902,NA,1.18930643613,840.790167005819,0.0957239095744863,-0.927447449393295,0.0503272257991715,0.122186162457081,0.02937240507776,-0.144953586267461,0.0271225197370603,-0.714768027245097,0.865173179516343,0.059093819706853,0.0488251064500868,0.263900591592017,NA,0.183782822970183,0.157210841994248,NA,-0.0491798853174174,0.215940594776634,0.363720946367556,0.268851830938031,0.245885831547682,-0.0802272763935693,0,19.353103975692,30.7213904431864,64.0860511034648,57.7173686316222,16.5608449208432,11.5612409251915,-0.039693469,-0.084751601,0.017737601,-551.723617351582,38.1953782036094,"20151002","1300","1200"
2015-10-14,"SMD","2015","SMD_UP","UP","15:15",111.9,498,625,14.5,5.6,54.9,1.714285714,NA,12.891,10.5727,138.0807,0.1217,6.6521,0.1158,7.365207,0.469577,0.1322727,0.3373043,54.98,NA,0.998205428,24.0814644,64.827,NA,4,100,1.714285714,0,0,0.382540538,0.030271975,0.499848975,2015-10-14 14:15:00,2015-10-14 14:15:00,626.64,6143.31,191.8285713966,NA,1442.5029,1183.08513,15451.23033,13.61823,744.36999,12.95802,824.1666633,52.5456663,37.74435117,14.80131513,6152.262,NA,2694.71586636,191.8285713966,0,42.8062862022,3.3874340025,55.9331003025,"SMD_OUT","OUT","14:45",113.8,481,611,14,6.09,59.1,1.985815603,NA,8.864,8.5929,158.4996,0.1073,8.2627,0.2317,8.626307,0.477223,0.1158929,0.3613301,17.23,NA,0.78505839,18.93934368,0.0507,1.23,NA,84.67689648,1.681527022,15.32310352,0.304288581,0.468721095,0.043052262,0.520275262,2015-10-14 13:45:00,2015-10-14 13:45:00,693.042,6725.58,225.9858156214,NA,1008.7232,977.87202,18037.25448,12.21074,940.29526,26.36746,981.6737366,54.3079774,41.11936538,13.18861202,1960.774,139.974,2155.297310784,191.3577751036,34.6280405178,53.340460611,4.8993474156,59.2073248156,NA,0.116098961622214,82.077135350568,-0.167366875955437,0.103353372648281,-0.263209522995413,-1.03483711246008,-0.191110706503627,-0.0335386574020851,-0.0894177302134293,0.108956744440317,0.681292181639859,-0.105965147453083,-0.0947811521801764,-0.178061297001378,NA,0.300713225602527,0.17345591183282,NA,0.200176412775067,0.00245425532584846,NA,-0.246089426189432,-0.446329998454339,-0.0585382268351331,1,26.4625330080951,22.2753047212919,67.4812427093604,69.449794443619,6.05622428254454,8.2749008350891,-0.020426287,0.0163798,-0.0240258,8.95407736760943,491.706806604556,"20151014","1515","1445"
2015-10-28,"SMD","2015","SMD_UP","UP","13:15",111.9,462,685,8.2,4.95,42.1,2,NA,9.508,15.8348,176.328,0.1,7.0907,0.218,7.181886,0.429909,0.1158348,0.3140742,49.29,NA,0.735874489,17.84336946,0.048627928,1.17513212,NA,56.75324675,1.135064935,43.24675325,0.864935065,0.43674108,0.032652732,0.462561732,2015-10-28 12:15:00,2015-10-28 12:15:00,553.905,4710.99,223.8,NA,1063.9452,1771.91412,19731.1032,11.19,793.44933,24.3942,803.6530434,48.1068171,35.14490298,12.96191412,5515.551,131.497284228,1996.673042574,127.0137662265,96.7862337735,48.871326852,3.6538407108,51.7606578108,"SMD_OUT","OUT","12:35",113.8,453.1,666,8.4,4.64,39.6,1.714285714,NA,11.937,3.7971,168.2653,0.0335,7.115,0.3483,7.453791,0.389745,0.0372971,0.3524479,20.63,NA,1.230039113,29.82579592,0.043571943,1.052950271,NA,84.62934163,1.450788714,15.37065837,0.263497001,0.367345917,0.037370567,0.427115567,2015-10-28 11:35:00,2015-10-28 11:30:00,528.032,4506.48,195.0857142532,NA,1358.4306,432.10998,19148.59114,3.8123,809.687,39.63654,848.2414158,44.352981,40.10857102,4.24440998,2347.694,119.8257408398,3394.175575696,165.0997556532,29.9859587138,41.8039653546,4.2527705246,48.6057515246,NA,0.113550447830507,80.2754421355556,0.0295225286744231,0.659311885612154,-0.020464659035001,-0.624834591829205,-0.0554821172721011,0.0780312713725557,-0.141234364562756,0.672547592839629,0.574350051336666,0.0467101759326963,0.043411257506384,0.128303332201966,NA,-0.276786248013526,0.756133790502217,0.0887588170107224,-0.69991556119795,-0.29985717736125,0.690183639297574,0.144611614880081,-0.16391787743502,0.0609518197726948,0,25.0420196887364,8.73232044946749,67.8988723606734,82.5181583700039,7.05910795059026,8.74952118052864,0.035446165,0.0785377,-0.0383737,86.439620005023,45.3725870476113,"20151028","1315","1235"
