Sample,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper
SMD_OUT,6/6/18,0.46174621,-1.852138826,2.704703147,-5.088568038,-9.356332566,-1.115663348,0.595827506,0.373071245,0.79140559
SMD_OUT,6/7/18,0.738276854,-2.205363895,3.001391472,-5.826488985,-10.0878346,-1.22196752,0.569123154,0.367862621,0.762404276
SMD_OUT,6/8/18,-0.579614304,-2.634577766,1.394271537,-5.685855257,-9.637619364,-1.698141947,0.536106252,0.350602892,0.706112534
SMD_OUT,6/9/18,1.698960366,-0.530890675,4.107949281,-7.431512854,-11.88874106,-3.088955305,0.515338732,0.348463414,0.681052184
SMD_OUT,6/10/18,0.250463418,-2.025731555,2.470538174,-6.817499169,-10.53691846,-2.784161491,0.482329197,0.321417892,0.630000071
SMD_OUT,6/11/18,0.368340696,-1.913600981,3.018671072,-5.476316561,-9.754525395,-1.18850236,0.454419614,0.302611871,0.613655337
SMD_OUT,6/12/18,3.845160907,1.473312344,5.88363556,-8.475798652,-12.28822175,-3.935100193,0.432180126,0.274900322,0.599237577
SMD_OUT,6/13/18,4.530545971,2.206855407,6.608835258,-9.733383698,-13.63398,-5.366692538,0.401222766,0.211674951,0.57719266
SMD_OUT,6/14/18,3.598807528,1.544439741,5.748910079,-9.131730151,-13.43051979,-4.58353973,0.408287727,0.231751729,0.579632747
SMD_OUT,6/15/18,6.323357455,3.838373796,8.842730619,-12.07564664,-16.75204993,-7.910101637,0.411697342,0.240769633,0.564707457
SMD_OUT,6/16/18,2.729320812,0.422611458,5.133877175,-6.425885624,-10.9284442,-2.119825449,0.433793618,0.269568474,0.603457749
SMD_OUT,6/17/18,2.487884701,0.523989411,4.788607914,-8.438428897,-12.93162349,-4.12797413,0.451133995,0.283517459,0.608949853
SMD_OUT,6/18/18,3.357540183,0.952258444,5.740418371,-7.852164264,-12.53981227,-3.390890442,0.442970816,0.283896708,0.619855204
SMD_OUT,6/19/18,6.26900818,4.034323704,8.446465434,-13.795663,-18.17438586,-9.732248574,0.429398265,0.26574977,0.597756639
SMD_OUT,6/20/18,6.241197274,3.886097919,8.245315419,-11.57599733,-15.84232493,-7.498198976,0.409575966,0.24934571,0.593590582
SMD_OUT,6/21/18,5.639556104,3.446366183,8.086096074,-10.95986685,-15.42054956,-6.453418471,0.403015596,0.231976484,0.562050076
SMD_OUT,6/22/18,3.520108031,1.329009133,5.629668382,-10.02912522,-14.12315122,-5.459681596,0.433356336,0.272781552,0.595602151
SMD_OUT,6/23/18,0.440945148,-2.043208593,3.12874368,-8.607046939,-13.66108189,-4.024770561,0.477804458,0.287384956,0.666401115
SMD_OUT,6/24/18,-1.952434788,-4.295271372,0.96234408,-3.974381971,-8.661824556,0.854581252,0.461092152,0.287376866,0.628882323
SMD_OUT,6/25/18,2.622201787,0.284167064,4.549261657,-6.885064939,-10.7596362,-2.351904386,0.619530795,0.436660381,0.789662302
SMD_OUT,6/26/18,2.76457107,0.452979906,4.974540757,-8.609663836,-12.27025783,-4.224056046,0.627676206,0.464310007,0.798849747
SMD_OUT,6/27/18,1.870121846,-0.547739764,4.389825704,-7.035783067,-11.12984021,-2.640904017,0.606208846,0.412012474,0.793966829
SMD_OUT,6/28/18,2.16901026,-0.091945959,4.620318926,-8.938584287,-13.29050459,-4.806974879,0.659442136,0.477737638,0.870694496
SMD_OUT,6/29/18,1.915874291,-0.254267194,4.124079107,-11.48433304,-16.4506665,-6.807181172,0.738671495,0.512104367,1.007230848
SMD_OUT,6/30/18,2.303666616,-0.26479609,4.717469676,-11.35595569,-16.01464741,-6.750604096,0.673653347,0.462997937,0.931726928
SMD_OUT,7/1/18,2.70451984,0.067554659,5.446864603,-12.39819558,-17.30090538,-7.654139636,0.650744666,0.466825296,0.871381138
SMD_OUT,7/2/18,2.67480926,0.29520213,5.206758479,-14.55198621,-19.33123384,-9.819157281,0.631588083,0.449174888,0.818232476
SMD_OUT,7/3/18,2.054885287,-0.121069229,4.017997506,-13.87587538,-18.22211909,-8.912825887,0.609176211,0.432724779,0.773208056
SMD_OUT,7/4/18,0.936509389,-1.401649863,3.033936084,-12.20956223,-17.33918769,-6.501840936,0.594036417,0.384855643,0.783018201
SMD_OUT,7/5/18,0.635214257,-1.691834888,3.163906214,-11.7470573,-16.78972665,-6.284079532,0.55676466,0.357694797,0.731728977
SMD_OUT,7/6/18,0.541860163,-1.728642575,3.026077131,-9.849762097,-14.89690136,-5.019158862,0.572356181,0.369196721,0.755912489
SMD_OUT,7/7/18,0.890257841,-1.207226183,2.922747896,-10.9619655,-15.8305857,-5.541476193,0.592634917,0.357275049,0.797210147
SMD_OUT,7/8/18,0.779045301,-1.763176757,3.162609849,-8.94042106,-13.54243678,-4.264659884,0.507654473,0.332853471,0.675894931
SMD_OUT,7/9/18,0.478701445,-1.980105317,2.716341949,-8.817058611,-13.67752977,-4.046370614,0.465465311,0.293109697,0.624321923
SMD_OUT,7/10/18,4.170045397,2.126844682,6.465635219,-12.18633549,-16.66461172,-7.625808069,0.435559609,0.27436748,0.590442244
SMD_OUT,7/12/18,1.044781018,-1.078787607,3.435312802,-7.447784927,-12.31055037,-2.836410697,0.433314501,0.267008439,0.589302821
SMD_OUT,7/13/18,2.818062986,0.401173665,5.404893031,-10.07293146,-14.96783599,-5.394788308,0.458718806,0.262300031,0.62947744
SMD_OUT,7/14/18,-0.988577004,-3.657870653,1.254429786,-6.175208974,-11.21765756,-1.436806405,0.491268549,0.307066144,0.673195558
