Date,Time,Discharge.m3s,DIN_UP_kg.day,DON_UP_kg.day,PN_UP_kg.day,TDN_UP_kg.day,TN_UP_kg.day,DIN_OUT_kg.day,DON_OUT_kg.day,PN_OUT_kg.day,TDN_OUT_kg.day,TN_OUT_kg.day
20160101,1200,2.220038681,73.48,75.87,10.50,132.85,136.30,51.96,84.83,8.31,130.55,163.94
20160102,1200,1.999167485,64.25,68.22,9.58,118.61,122.15,44.60,76.29,7.56,117.02,146.81
20160103,1200,1.679187421,51.40,57.16,8.24,98.22,101.78,34.59,63.94,6.48,97.54,122.19
20160104,1200,1.370534084,39.62,46.52,6.91,78.84,82.29,25.72,52.05,5.40,78.91,98.67
20160105,1200,1.29407867,36.81,43.89,6.57,74.10,77.50,23.65,49.11,5.13,74.32,92.88
20160106,1200,0.920296647,23.78,31.06,4.89,51.25,54.25,14.37,34.77,3.79,52.07,64.88
20160107,1200,0.227667232,3.96,7.53,1.45,11.30,12.58,1.85,8.45,1.09,12.10,14.91
20160108,1200,0.19651873,3.27,6.49,1.27,9.64,10.78,1.49,7.28,0.95,10.38,12.77
20160109,1200,0.549346306,12.27,18.41,3.12,29.32,31.62,6.75,20.62,2.39,30.38,37.69
20160110,1200,1.514949865,45.05,51.50,7.53,87.87,91.39,29.77,57.61,5.91,87.61,109.64
20160111,1200,4.190889346,165.58,144.48,18.20,264.13,264.95,130.88,161.41,14.62,253.34,319.97
20160112,1200,2.831681991,100.31,97.09,12.96,172.85,175.82,74.05,108.53,10.32,168.29,211.79
20160113,1200,2.94494927,105.47,101.03,13.41,180.34,183.18,78.39,112.93,10.68,175.32,220.72
20160114,1200,2.466395014,84.07,84.41,11.50,148.86,152.16,60.56,94.37,9.12,145.70,183.14
20160115,1200,2.050137761,66.36,69.98,9.80,121.89,125.41,46.27,78.26,7.74,120.14,150.76
20160116,1200,2.135088221,69.90,72.92,10.15,127.36,130.85,49.09,81.54,8.02,125.34,157.34
20160117,1200,2.497543516,85.43,85.49,11.63,150.90,154.18,61.68,95.57,9.22,147.62,185.57
20160118,1200,2.186058497,72.04,74.69,10.36,130.65,134.12,50.81,83.51,8.19,128.46,161.29
20160119,1200,2.358791098,79.40,80.67,11.06,141.85,145.23,56.76,90.20,8.77,139.07,174.74
20160120,1200,2.203048589,72.76,75.28,10.43,131.75,135.21,51.38,84.17,8.25,129.50,162.61
20160121,1200,1.404514267,40.89,47.69,7.05,80.96,84.43,26.65,53.36,5.52,80.95,101.24
20160122,1200,1.050554019,28.18,35.53,5.48,59.14,62.31,17.44,39.76,4.26,59.78,74.58
20160123,1200,0.971266923,25.49,32.81,5.12,54.32,57.40,15.55,36.72,3.97,55.08,68.67
20160124,1200,0.815524413,20.37,27.48,4.40,44.96,47.80,12.04,30.77,3.40,45.89,57.13
20160125,1200,0.656950222,15.44,22.07,3.64,35.58,38.12,8.77,24.71,2.80,36.62,45.50
20160126,1200,0.566336398,12.76,18.98,3.20,30.31,32.64,7.05,21.26,2.46,31.36,38.91
20160127,1200,0.699425452,16.73,23.52,3.85,38.08,40.71,9.61,26.33,2.97,39.09,48.60
20160128,1200,0.807029367,20.10,27.19,4.36,44.46,47.28,11.85,30.44,3.37,45.39,56.50
20160129,1200,0.770217501,18.93,25.93,4.19,42.27,45.03,11.07,29.03,3.23,43.23,53.79
20160130,1200,0.744732364,18.13,25.06,4.06,40.76,43.47,10.54,28.06,3.14,41.74,51.92
20160131,1200,0.727742272,17.60,24.48,3.98,39.75,42.43,10.19,27.41,3.07,40.75,50.67
20160201,1200,0.818356095,20.46,27.58,4.41,45.13,47.98,12.10,30.87,3.41,46.06,57.33
20160202,1200,0.894811509,22.94,30.19,4.77,49.71,52.68,13.79,33.80,3.69,50.56,62.99
20160203,1200,0.821187777,20.55,27.67,4.43,45.30,48.15,12.16,30.98,3.42,46.23,57.54
20160204,1200,1.036395609,27.70,35.04,5.42,58.27,61.43,17.09,39.22,4.21,58.94,73.52
20160205,1200,1.29407867,36.81,43.89,6.57,74.10,77.50,23.65,49.11,5.13,74.32,92.88
20160206,1200,1.469642953,43.33,49.93,7.34,85.03,88.53,28.47,55.86,5.75,84.87,106.19
20160207,1200,1.396019221,40.57,47.40,7.02,80.43,83.89,26.42,53.03,5.49,80.44,100.60
20160208,1200,1.339385582,38.47,45.45,6.77,76.91,80.34,24.87,50.85,5.29,77.04,96.31
20160209,1200,1.078870838,29.16,36.50,5.61,60.86,64.07,18.13,40.85,4.37,61.47,76.70
20160210,1200,1.067544111,28.77,36.11,5.56,60.17,63.36,17.85,40.41,4.32,60.79,75.85
20160211,1200,0.920296647,23.78,31.06,4.89,51.25,54.25,14.37,34.77,3.79,52.07,64.88
20160212,1200,0.69659377,16.64,23.42,3.84,37.91,40.54,9.55,26.23,2.95,38.93,48.39
