Date,Time,Discharge.cfs,DIN_UP_kg.day,DON_UP_kg.day,PN_UP_kg.day,DIN_OUT_kg.day,DON_OUT_kg.day,PN_OUT_kg.day,DIN_OUT_Scen_kg.day,DON_OUT_Scen_kg.day,PN_OUT_Scen_kg.day
20150618,1200,12.90,6.47,12.17,2.38,4.04,12.99,2.40,3.87,12.81,2.62
20150619,1200,10.90,5.26,10.24,2.04,3.16,10.95,2.06,3.09,10.81,2.26
20150620,1200,8.60,3.92,8.04,1.65,2.24,8.61,1.66,2.25,8.52,1.83
20150621,1200,24.70,14.40,23.67,4.26,10.39,25.10,4.30,9.17,24.64,4.63
20150622,1200,63.20,45.70,61.91,9.89,40.54,65.06,9.99,31.89,63.43,10.53
20150623,1200,68.30,50.26,67.03,10.60,45.36,70.39,10.72,35.35,68.58,11.27
20150624,1200,59.40,42.35,58.10,9.36,37.06,61.10,9.45,29.38,59.59,9.98
20150625,1200,53.10,36.90,51.81,8.46,31.51,54.53,8.55,25.32,53.23,9.05
20150626,1200,46.50,31.35,45.23,7.52,26.00,47.67,7.59,21.24,46.58,8.05
20150627,1200,39.10,25.34,37.87,6.44,20.22,39.99,6.49,16.87,39.12,6.92
20150628,1200,59.50,42.44,58.20,9.37,37.15,61.20,9.47,29.44,59.69,9.99
20150629,1200,85.50,66.21,84.35,12.96,62.77,88.38,13.11,47.59,85.98,13.72
20150630,1200,71.70,53.35,70.44,11.07,48.66,73.94,11.19,37.70,72.02,11.76
20150701,1200,64.40,46.76,63.11,10.06,41.66,66.32,10.17,32.70,64.64,10.71
20150702,1200,65.80,48.01,64.52,10.26,42.98,67.78,10.36,33.64,66.06,10.91
20150703,1200,58.70,41.74,57.40,9.26,36.43,60.37,9.35,28.92,58.89,9.87
20150704,1200,50.60,34.78,49.31,8.11,29.38,51.93,8.19,23.75,50.71,8.67
20150705,1200,44.80,29.95,43.53,7.27,24.63,45.90,7.34,20.21,44.86,7.80
20150706,1200,40.20,26.22,38.96,6.60,21.05,41.13,6.66,17.51,40.23,7.09
20150707,1200,36.50,23.28,35.30,6.05,18.30,37.29,6.11,15.40,36.50,6.52
20150708,1200,33.80,21.18,32.63,5.65,16.37,34.50,5.70,13.91,33.78,6.09
20150709,1200,30.00,18.29,28.88,5.07,13.77,30.57,5.12,11.87,29.96,5.49
20150710,1200,38.20,24.62,36.98,6.30,19.55,39.05,6.36,16.36,38.21,6.78
20150711,1200,34.80,21.96,33.62,5.80,17.08,35.53,5.85,14.46,34.79,6.25
20150712,1200,29.00,17.55,27.89,4.92,13.11,29.54,4.97,11.35,28.96,5.33
