Date,Time,Location,Species,Discharge.m3s,Flux_kg.day
20160101,1200,UP,DIN,2.22003712,73.48
20160102,1200,UP,DIN,1.99916608,64.25
20160103,1200,UP,DIN,1.67918624,51.40
20160104,1200,UP,DIN,1.37053312,39.62
20160105,1200,UP,DIN,1.29407776,36.81
20160106,1200,UP,DIN,0.920296,23.78
20160107,1200,UP,DIN,0.227667072,3.96
20160108,1200,UP,DIN,0.196518592,3.27
20160109,1200,UP,DIN,0.54934592,12.27
20160110,1200,UP,DIN,1.5149488,45.05
20160111,1200,UP,DIN,4.1908864,165.58
20160112,1200,UP,DIN,2.83168,100.31
20160113,1200,UP,DIN,2.9449472,105.47
20160114,1200,UP,DIN,2.46639328,84.07
20160115,1200,UP,DIN,2.05013632,66.36
20160116,1200,UP,DIN,2.13508672,69.90
20160117,1200,UP,DIN,2.49754176,85.43
20160118,1200,UP,DIN,2.18605696,72.04
20160119,1200,UP,DIN,2.35878944,79.40
20160120,1200,UP,DIN,2.20304704,72.76
20160121,1200,UP,DIN,1.40451328,40.89
20160122,1200,UP,DIN,1.05055328,28.18
20160123,1200,UP,DIN,0.97126624,25.49
20160124,1200,UP,DIN,0.81552384,20.37
20160125,1200,UP,DIN,0.65694976,15.44
20160126,1200,UP,DIN,0.566336,12.76
20160127,1200,UP,DIN,0.69942496,16.73
20160128,1200,UP,DIN,0.8070288,20.10
20160129,1200,UP,DIN,0.77021696,18.93
20160130,1200,UP,DIN,0.74473184,18.13
20160131,1200,UP,DIN,0.72774176,17.60
20160201,1200,UP,DIN,0.81835552,20.46
20160202,1200,UP,DIN,0.89481088,22.94
20160203,1200,UP,DIN,0.8211872,20.55
20160204,1200,UP,DIN,1.03639488,27.70
20160205,1200,UP,DIN,1.29407776,36.81
20160206,1200,UP,DIN,1.46964192,43.33
20160207,1200,UP,DIN,1.39601824,40.57
20160208,1200,UP,DIN,1.33938464,38.47
20160209,1200,UP,DIN,1.07887008,29.16
20160210,1200,UP,DIN,1.06754336,28.77
20160211,1200,UP,DIN,0.920296,23.78
20160212,1200,UP,DIN,0.69659328,16.64
20160213,1200,UP,DIN,0.5946528,13.58
20160214,1200,UP,DIN,0.55500928,12.43
20160215,1200,UP,DIN,0.80419712,20.01
20160216,1200,UP,DIN,1.1043552,30.05
20160217,1200,UP,DIN,3.0298976,109.38
20160218,1200,UP,DIN,3.2847488,121.28
20160219,1200,UP,DIN,3.0298976,109.38
20160220,1200,UP,DIN,3.2847488,121.28
20160221,1200,UP,DIN,3.7661344,144.44
20160222,1200,UP,DIN,3.822768,147.23
20160223,1200,UP,DIN,3.4546496,129.35
20160224,1200,UP,DIN,3.3130656,122.61
20160225,1200,UP,DIN,4.7289056,193.21
20160226,1200,UP,DIN,5.1819744,217.16
20160227,1200,UP,DIN,4.6156384,187.32
20160228,1200,UP,DIN,4.5023712,181.46
20160229,1200,UP,DIN,4.0776192,159.88
20160301,1200,UP,DIN,3.5396,133.43
20160302,1200,UP,DIN,3.5679168,134.80
20160303,1200,UP,DIN,3.7378176,143.06
20160304,1200,UP,DIN,3.2281152,118.61
20160305,1200,UP,DIN,2.8599968,101.60
20160306,1200,UP,DIN,2.6051456,90.16
20160307,1200,UP,DIN,2.15774016,70.85
20160308,1200,UP,DIN,1.58290912,47.65
20160309,1200,UP,DIN,1.39884992,40.68
20160310,1200,UP,DIN,1.33655296,38.37
20160311,1200,UP,DIN,2.01615616,64.95
20160312,1200,UP,DIN,2.06995808,67.18
20160313,1200,UP,DIN,1.82077024,57.01
20160314,1200,UP,DIN,1.6140576,48.86
20160315,1200,UP,DIN,2.47772,84.56
20160316,1200,UP,DIN,4.0493024,158.47
20160317,1200,UP,DIN,4.1908864,165.58
20160318,1200,UP,DIN,4.672272,190.26
20160319,1200,UP,DIN,4.3607872,174.21
20160320,1200,UP,DIN,3.822768,147.23
20160321,1200,UP,DIN,3.5112832,132.07
20160322,1200,UP,DIN,3.4829664,130.71
20160323,1200,UP,DIN,3.4263328,128.00
20160324,1200,UP,DIN,3.4263328,128.00
20160325,1200,UP,DIN,3.256432,119.94
20160326,1200,UP,DIN,3.0865312,112.00
20160327,1200,UP,DIN,2.81185824,99.41
20160328,1200,UP,DIN,2.8883136,102.88
20160329,1200,UP,DIN,3.681184,140.29
20160330,1200,UP,DIN,3.4829664,130.71
20160331,1200,UP,DIN,3.1997984,117.28
20160401,1200,UP,DIN,3.0298976,109.38
20160402,1200,UP,DIN,2.82318496,99.93
20160403,1200,UP,DIN,2.82035328,99.80
20160404,1200,UP,DIN,2.7892048,98.39
20160405,1200,UP,DIN,2.6759376,93.31
20160406,1200,UP,DIN,2.67310592,93.18
20160407,1200,UP,DIN,3.0865312,112.00
20160408,1200,UP,DIN,5.8615776,254.17
20160409,1200,UP,DIN,5.4368256,230.89
20160410,1200,UP,DIN,5.0687072,211.12
20160411,1200,UP,DIN,4.7289056,193.21
20160412,1200,UP,DIN,4.3324704,172.76
20160413,1200,UP,DIN,4.0776192,159.88
20160414,1200,UP,DIN,3.6528672,138.91
20160415,1200,UP,DIN,3.2281152,118.61
20160416,1200,UP,DIN,2.8599968,101.60
20160417,1200,UP,DIN,2.57966048,89.04
20160418,1200,UP,DIN,2.38427456,80.50
20160419,1200,UP,DIN,2.2228688,73.60
20160420,1200,UP,DIN,2.08694816,67.89
20160421,1200,UP,DIN,1.86324544,58.72
