DateTime,LowRange.uScm,FullRange.uScm,Temp.C,SpCond.uScm
8/22/2019 9:30,530.8,515.1,25.37,511.3
8/22/2019 9:45,528.3,512.6,25.22,510.4
8/22/2019 10:00,528.7,512.9,25.25,510.4
8/22/2019 10:15,529.2,513.3,25.27,510.6
8/22/2019 10:30,529,513.3,25.26,510.7
8/22/2019 10:45,529.3,513.6,25.31,510.4
8/22/2019 11:00,528.9,512.9,25.26,510.3
8/22/2019 11:15,529.3,513.7,25.25,511.2
8/22/2019 11:30,530.9,515.1,25.37,511.3
8/22/2019 11:45,545.6,529.5,26.63,512
8/22/2019 12:00,548.2,531.7,26.86,511.7
8/22/2019 12:15,539.5,523.5,26.03,512.5
8/22/2019 12:30,535.8,519.8,25.75,511.9
8/22/2019 12:45,548,531.8,26.73,513.2
8/22/2019 13:00,551.8,535,27.02,513.2
8/22/2019 13:15,556.8,539.7,27.47,513
8/22/2019 13:30,560.9,544.1,27.71,514.7
8/22/2019 13:45,561.6,545.2,27.7,515.8
8/22/2019 14:00,562.5,545.6,27.7,516.2
8/22/2019 14:15,563.5,546.7,27.73,516.9
8/22/2019 14:30,563.5,546.8,27.62,518.2
8/22/2019 14:45,561.7,544.9,27.5,517.6
8/22/2019 15:00,562,544.9,27.53,517.3
8/22/2019 15:15,561.7,544.9,27.47,518
8/22/2019 15:30,562.1,545.3,27.5,518
8/22/2019 15:45,561.6,545,27.45,518.3
8/22/2019 16:00,562.4,545.3,27.45,518.5
8/22/2019 16:15,563,546.1,27.5,518.8
8/22/2019 16:30,564.6,547.5,27.62,518.8
8/22/2019 16:45,564.6,547.1,27.65,518.1
8/22/2019 17:00,565,548.2,27.69,518.8
8/22/2019 17:15,564.6,547.5,27.65,518.5
8/22/2019 17:30,564.9,548.3,27.63,519.5
8/22/2019 17:45,565,547.9,27.59,519.5
8/22/2019 18:00,564.6,547.6,27.55,519.7
8/22/2019 18:15,563.4,546.5,27.47,519.5
8/22/2019 18:30,560.7,543.6,27.27,518.8
8/22/2019 18:45,558.2,541.4,27.11,518.4
8/22/2019 19:00,553.6,537.4,26.73,518.6
8/22/2019 19:15,552.9,535.9,26.75,516.9
8/22/2019 19:30,550,533,26.58,515.9
8/22/2019 19:45,544.8,528.3,26.23,515.1
8/22/2019 20:00,541.3,525,25.95,514.9
8/22/2019 20:15,542.2,525.7,26.02,514.8
8/22/2019 20:30,543.5,527.2,26.1,515.4
8/22/2019 20:45,547.5,530.8,26.35,516.3
8/22/2019 21:00,549.1,532.3,26.38,517.4
8/22/2019 21:15,550.8,534.2,26.39,519.1
8/22/2019 21:30,551.3,534.6,26.43,519.1
8/22/2019 21:45,551.3,534.6,26.42,519.2
8/22/2019 22:00,551.2,534.2,26.35,519.6
8/22/2019 22:15,551.6,535,26.37,520.1
8/22/2019 22:30,551.7,534.6,26.35,519.9
8/22/2019 22:45,551.8,535,26.35,520.3
8/22/2019 23:00,551.7,535,26.3,520.9
8/22/2019 23:15,551.7,535,26.3,520.9
8/22/2019 23:30,551.9,535,26.29,521
8/22/2019 23:45,552.1,535.1,26.25,521.5
8/23/2019 0:00,551.6,534.3,26.19,521.4
8/23/2019 0:15,551.1,534.4,26.15,521.9
8/23/2019 0:30,550.6,534,26.1,522.1
8/23/2019 0:45,550.2,533.3,26.05,521.9
8/23/2019 1:00,549.7,532.9,26.01,522
8/23/2019 1:15,549.1,532.6,25.95,522.3
8/23/2019 1:30,548.7,531.8,25.91,522
8/23/2019 1:45,548.4,531.5,25.87,522.1
8/23/2019 2:00,548,531.1,25.83,522.1
8/23/2019 2:15,547.4,530.8,25.79,522.3
8/23/2019 2:30,547.1,530.4,25.77,522.1
8/23/2019 2:45,546.6,530.4,25.74,522.4
8/23/2019 3:00,546.4,530.1,25.69,522.7
8/23/2019 3:15,546,529.3,25.65,522.3
8/23/2019 3:30,545.5,529,25.61,522.5
8/23/2019 3:45,545,528.6,25.55,522.7
8/23/2019 4:00,544.3,527.9,25.51,522.5
8/23/2019 4:15,543.6,527.6,25.46,522.7
8/23/2019 4:30,542.9,526.8,25.42,522.4
8/23/2019 4:45,542.1,526.1,25.38,522.1
8/23/2019 5:00,541.6,525.3,25.35,521.6
8/23/2019 5:15,541.1,524.6,25.33,521.2
8/23/2019 5:30,540.4,524.2,25.29,521.2
8/23/2019 5:45,540,523.5,25.26,520.8
8/23/2019 6:00,539.5,522.8,25.22,520.6
8/23/2019 6:15,539.2,522.8,25.19,520.9
8/23/2019 6:30,538.9,522.4,25.18,520.6
8/23/2019 6:45,538.7,522.4,25.17,520.7
8/23/2019 7:00,538.7,522.1,25.14,520.8
8/23/2019 7:15,538.3,522.1,25.13,520.9
8/23/2019 7:30,538.4,522.1,25.13,520.9
8/23/2019 7:45,538.3,522.1,25.11,521.1
8/23/2019 8:00,538.2,521.7,25.09,520.9
8/23/2019 8:15,538,521.7,25.09,520.9
8/23/2019 8:30,538.1,521.3,25.09,520.5
8/23/2019 8:45,538.1,521.7,25.09,520.9
8/23/2019 9:00,537.9,521.3,25.07,520.7
8/23/2019 9:15,538.2,521.7,25.07,521.1
8/23/2019 9:30,538.6,522.1,25.1,521.2
8/23/2019 9:45,539.2,522.8,25.13,521.6
8/23/2019 10:00,540,523.5,25.18,521.7
8/23/2019 10:15,540.3,523.5,25.19,521.6
8/23/2019 10:30,540.5,523.9,25.18,522.1
8/23/2019 10:45,541.2,524.7,25.23,522.4
8/23/2019 11:00,542.1,525.8,25.26,523.1
8/23/2019 11:15,542.9,526.1,25.31,522.9
8/23/2019 11:30,543.8,527.6,25.37,523.7
8/23/2019 11:45,544.8,528.3,25.43,523.7
8/23/2019 12:00,546,529.4,25.54,523.6
8/23/2019 12:15,548.1,531.2,25.63,524.4
8/23/2019 12:30,549.1,532.7,25.73,524.8
8/23/2019 12:45,549.5,532.7,25.74,524.7
8/23/2019 13:00,550.9,533.8,25.85,524.6
8/23/2019 13:15,551.7,534.9,25.9,525.1
8/23/2019 13:30,552.3,535.2,25.91,525.3
8/23/2019 13:45,554.1,537.1,26.03,525.9
8/23/2019 14:00,555.3,538.2,26.05,526.7
8/23/2019 14:15,555.6,538.6,26.05,527.1
8/23/2019 14:30,556.5,539.3,26.09,527.3
8/23/2019 14:45,557.2,540.4,26.17,527.5
8/23/2019 15:00,558.5,541.5,26.22,528.1
8/23/2019 15:15,560,542.6,26.29,528.4
8/23/2019 15:30,560.2,543,26.34,528.2
