DateTime,LowRange.uScm,FullRange.uScm,Temp.C,SpCond.uScm
8/22/2019 8:30,576.7,582.1,23.61,599.8
8/22/2019 8:45,579.2,584.6,23.54,603.3
8/22/2019 9:00,578.1,583.8,23.54,602.5
8/22/2019 9:15,577.1,583.4,23.55,601.9
8/22/2019 9:30,576.7,582.6,23.58,600.7
8/22/2019 9:45,576.7,582.5,23.61,600.2
8/22/2019 10:00,577.4,583.3,23.66,600.4
8/22/2019 10:15,577.8,583.7,23.71,600.2
8/22/2019 10:30,578.7,584.4,23.77,600.1
8/22/2019 10:45,580,585.2,23.86,599.8
8/22/2019 11:00,580.9,586.7,23.94,600.3
8/22/2019 11:15,582.1,587.4,24.01,600.1
8/22/2019 11:30,582.9,588.6,24.08,600.4
8/22/2019 11:45,584.2,589.7,24.16,600.5
8/22/2019 12:00,585.7,591.2,24.3,600.2
8/22/2019 12:15,587.9,593.5,24.45,600.7
8/22/2019 12:30,589.6,595,24.57,600.6
8/22/2019 12:45,592,597.2,24.76,600.4
8/22/2019 13:00,593.3,598.4,24.84,600.6
8/22/2019 13:15,595.2,600.7,24.98,601.2
8/22/2019 13:30,597,602.2,25.1,601.2
8/22/2019 13:45,598.4,603.3,25.19,601.1
8/22/2019 14:00,599.2,604.1,25.23,601.4
8/22/2019 14:15,599.7,604.4,25.25,601.4
8/22/2019 14:30,601,605.9,25.37,601.4
8/22/2019 14:45,602.4,607.1,25.45,601.6
8/22/2019 15:00,603.3,608.2,25.5,602.1
8/22/2019 15:15,604.2,609,25.57,602
8/22/2019 15:30,605.3,610.1,25.63,602.3
8/22/2019 15:45,606.3,611.3,25.72,602.4
8/22/2019 16:00,607.1,611.6,25.76,602.2
8/22/2019 16:15,607.6,612,25.8,602.1
8/22/2019 16:30,608,612.4,25.81,602.3
8/22/2019 16:45,608.1,612.4,25.81,602.3
8/22/2019 17:00,607.6,612,25.77,602.4
8/22/2019 17:15,607.3,611.6,25.73,602.5
8/22/2019 17:30,607,611.3,25.7,602.6
8/22/2019 17:45,606.9,611.7,25.68,603.3
8/22/2019 18:00,606.9,611.3,25.66,603.1
8/22/2019 18:15,606.8,611.3,25.65,603.2
8/22/2019 18:30,606.6,611.3,25.63,603.5
8/22/2019 18:45,606.3,610.5,25.61,603
8/22/2019 19:00,606.2,610.6,25.58,603.4
8/22/2019 19:15,605.5,610.2,25.54,603.5
