StreamStats Output Report

State/Region ID,MA
Workspace ID,MA20220509164709157000
Latitude,42.77202
Longitude,-70.91942
Time,5/9/2022, 12:47:28 PM

Basin Characteristics
"Parameter Code","Parameter Description","Value","Unit"
"ACRSDFT","Area underlain by stratified drift","0.37","square miles"
"BSLDEM10M","Mean basin slope computed from 10 m DEM","4.195","percent"
"BSLDEM250","Mean basin slope computed from 1:250K DEM","0.743","percent"
"CAT1ROADS","Length of interstates lmtd access highways and ramps for lmtd access highways, includes cloverleaf interchanges (USGS Ntl Transp Dataset)","2.88","miles"
"CAT2ROADS","Length of sec hwy or maj connecting roads; main arteries & hwys not lmtd access, usually in the US Hwy or State Hwy systems (USGS Ntl Transp Dataset)","0","miles"
"CAT3ROADS","Length of local connecting roads; roads that collect traffic from local roads & connect towns, subdivisions & neighborhoods (USGS Nat Transp Dataset)","1.19","miles"
"CAT4ROADS","Length of local roads; generally paved street, road, or byway that usually have single lane of traffic in each direction (USGS Ntnl Transp Dataset)","4.39","miles"
"CENTROIDX","Basin centroid horizontal (x) location in state plane coordinates","246068.5","meters"
"CENTROIDY","Basin centroid vertical (y) location in state plane units","946784.9","meters"
"CROSCOUNT1","Number of intersections between streams and roads, where the roads are interstate, limited access highway, or ramp (CAT1ROADS)","4","dimensionless"
"CROSCOUNT2","Number of intersections between streams and roads, where the roads are secondary highway or major connecting road (CAT2ROADS)","0","dimensionless"
"CROSCOUNT3","Number of intersections between streams and roads, where roads are local conecting roads (CAT3ROADS)","1","dimensionless"
"CROSCOUNT4","Number of intersections between streams and roads, where roads are local  roads (CAT4ROADS)","7","dimensionless"
"CRSDFT","Percentage of area of coarse-grained stratified drift","13.79","percent"
"CSL10_85","Change in elevation divided by length between points 10 and 85 percent of distance along main channel to basin divide - main channel method not known","19","feet per mi"
"DRFTPERSTR","Area of stratified drift per unit of stream length","0.0814","square mile per mile"
"DRNAREA","Area that drains to a point on a stream","1.53","square miles"
"ELEV","Mean Basin Elevation","69.7","feet"
"FOREST","Percentage of area covered by forest","74.97","percent"
"LAKEAREA","Percentage of Lakes and Ponds","0.1","percent"
"LC06STOR","Percentage of water bodies and wetlands determined from the NLCD 2006","26.06","percent"
"LC11DEV","Percentage of developed (urban) land from NLCD 2011 classes 21-24","12.2","percent"
"LC11IMP","Average percentage of impervious area determined from NLCD 2011 impervious dataset","4.46","percent"
"LFPLENGTH","Length of longest flow path","2.69","miles"
"MAREGION","Region of Massachusetts 0 for Eastern 1 for Western","0","dimensionless"
"MAXTEMPC","Mean annual maximum air temperature over basin area, in degrees Centigrade","14.9","degrees C"
"OUTLETX","Basin outlet horizontal (x) location in state plane coordinates","247515","feet"
"OUTLETY","Basin outlet vertical (y) location in state plane coordinates","946985","feet"
"PCTSNDGRV","Percentage of land surface underlain by sand and gravel deposits","13.79","percent"
"PRECPRIS00","Basin average mean annual precipitation for 1971 to 2000 from PRISM","47.1","inches"
"STRMTOT","total length of all mapped streams (1:24,000-scale) in the basin","4.57","miles"
"WETLAND","Percentage of Wetlands","19","percent"

USGS Data Disclaimer: Unless otherwise stated, all data, metadata and related materials are considered to satisfy the quality standards relative to the purpose for which the data were collected. Although these data and associated metadata have been reviewed for accuracy and completeness and approved for release by the U.S. Geological Survey (USGS), no warranty expressed or implied is made regarding the display or utility of the data for other purposes, nor on all computer systems, nor shall the act of distribution constitute any such warranty.
USGS Software Disclaimer: This software has been approved for release by the U.S. Geological Survey (USGS). Although the software has been subjected to rigorous review, the USGS reserves the right to update the software as needed pursuant to further analysis and review. No warranty, expressed or implied, is made by the USGS or the U.S. Government as to the functionality of the software and related material nor shall the fact of release constitute any such warranty. Furthermore, the software is released on condition that neither the USGS nor the U.S. Government shall be held liable for any damages resulting from its authorized or unauthorized use.
USGS Product Names Disclaimer: Any use of trade, firm, or product names is for descriptive purposes only and does not imply endorsement by the U.S. Government.

Application Version: 4.8.1
StreamStats Services Version: 1.2.22
NSS Services Version: 2.1.2
