Sample,Date,Time,Filter_Wt.g,Filter_Vol.mL,Filter_Vol.L,Post_Wt.g,TSS.g,TSS.gL,TSS.mgL
PD,2016-09-07,9:45,0.1364,300,0.300,0.1373,0.0009,0.003,3.0
WB,2016-09-07,10:05,0.1348,395,0.395,0.1367,0.0019,0.005,4.8
PD_UP,2016-09-07,10:30,0.1338,390,0.390,0.1347,0.0009,0.002,2.3
SMD_UP,2016-09-07,11:00,0.1347,390,0.390,0.1381,0.0034,0.009,8.7
SMD_OUT,2016-09-07,11:45,0.1372,410,0.410,0.1383,0.0011,0.003,2.7
SMD_DOWN,2016-09-07,11:55,0.1331,415,0.415,0.1337,0.0006,0.001,1.4
ID_UP,2016-09-07,12:50,0.1342,410,0.410,0.1348,0.0006,0.001,1.5
ID,2016-09-07,13:15,0.1317,300,0.300,0.1342,0.0025,0.008,8.3
MR,2016-09-07,13:30,0.1332,300,0.300,0.137,0.0038,0.013,12.7
PD,2016-09-21,10:30,0.1323,390,0.390,0.1335,0.0012,0.003,3.1
WB,2016-09-21,10:45,0.1337,295,0.295,0.1356,0.0019,0.006,6.4
PD_UP,2016-09-21,11:00,0.1337,295,0.295,0.134,0.0003,0.001,1.0
SMD_UP,2016-09-21,12:45,0.135,295,0.295,0.1359,0.0009,0.003,3.1
SMD_DOWN,2016-09-21,14:25,0.1337,310,0.310,0.1352,0.0015,0.005,4.8
ID_UP,2016-09-21,15:30,0.1353,330,0.330,0.1357,0.0004,0.001,1.2
ID,2016-09-21,15:55,0.1336,305,0.305,0.1344,0.0008,0.003,2.6
MR,2016-09-21,16:10,0.1342,305,0.305,0.1377,0.0035,0.011,11.5
MR,2016-10-05,8:30,0.1385,310,0.310,0.1407,0.0022,0.007,7.1
ID,2016-10-05,8:45,0.1336,310,0.310,0.1346,0.001,0.003,3.2
ID_UP,2016-10-05,9:05,0.1327,310,0.310,0.1333,0.0006,0.002,1.9
SMD_DOWN,2016-10-05,9:50,0.1338,310,0.310,0.1344,0.0006,0.002,1.9
SMD_OUT,2016-10-05,10:00,0.1314,300,0.300,0.1328,0.0014,0.005,4.7
