Date,Time,DateTime,Site,Permanent.ID,Location,Location.Flag,Stage,Discharge,Temp.Stage,NO3.SUNA.Raw,Br.SUNA.Raw,Abs.254,Abs.350,RWT,Temp.Turner,DO_Concentration,DO_Percent_Sat,Temp.DO,PAR
2015-06-15,11:00,6/15/15 11:00,BOX,Boxford-up,Up,1,0.17501616,16.93096222,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,11:15,6/15/15 11:15,BOX,Boxford-up,Up,1,0.17501616,16.93096222,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,11:30,6/15/15 11:30,BOX,Boxford-up,Up,1,0.17641824,17.37820703,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,11:45,6/15/15 11:45,BOX,Boxford-up,Up,1,0.17501616,16.93096222,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,12:00,6/15/15 12:00,BOX,Boxford-up,Up,1,0.17501616,16.93096222,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,12:15,6/15/15 12:15,BOX,Boxford-up,Up,1,0.35420808,169.4948205,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,12:30,6/15/15 12:30,BOX,Boxford-up,Up,1,0.34582608,156.7368204,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,12:45,6/15/15 12:45,BOX,Boxford-up,Up,1,0.33881568,146.5913046,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,13:00,6/15/15 13:00,BOX,Boxford-up,Up,1,0.33037272,134.9887358,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,13:15,6/15/15 13:15,BOX,Boxford-up,Up,1,0.32479488,127.6831574,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,13:30,6/15/15 13:30,BOX,Boxford-up,Up,1,0.31918656,120.618965,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,13:45,6/15/15 13:45,BOX,Boxford-up,Up,1,0.31357824,113.8306976,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,14:00,6/15/15 14:00,BOX,Boxford-up,Up,1,0.31080456,110.5735478,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,14:15,6/15/15 14:15,BOX,Boxford-up,Up,1,0.30659832,105.7583966,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,14:30,6/15/15 14:30,BOX,Boxford-up,Up,1,0.30239208,101.090735,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,14:45,6/15/15 14:45,BOX,Boxford-up,Up,1,0.29958792,98.0596345,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,15:00,6/15/15 15:00,BOX,Boxford-up,Up,1,0.29538168,93.63210416,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,15:15,6/15/15 15:15,BOX,Boxford-up,Up,1,0.29120592,89.3758216,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,15:30,6/15/15 15:30,BOX,Boxford-up,Up,1,0.28980384,87.97736469,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,15:45,6/15/15 15:45,BOX,Boxford-up,Up,1,0.2855976,83.87316933,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,16:00,6/15/15 16:00,BOX,Boxford-up,Up,1,0.28139136,79.90377712,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,16:15,6/15/15 16:15,BOX,Boxford-up,Up,1,0.27998928,78.61016825,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,16:30,6/15/15 16:30,BOX,Boxford-up,Up,1,0.27861768,77.35881531,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,16:45,6/15/15 16:45,BOX,Boxford-up,Up,1,0.27581352,74.84363101,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,17:00,6/15/15 17:00,BOX,Boxford-up,Up,1,0.27300936,72.38576931,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,17:15,6/15/15 17:15,BOX,Boxford-up,Up,1,0.2702052,69.98449248,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,17:30,6/15/15 17:30,BOX,Boxford-up,Up,1,0.26740104,67.63906482,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,17:45,6/15/15 17:45,BOX,Boxford-up,Up,1,0.26599896,66.48706507,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,18:00,6/15/15 18:00,BOX,Boxford-up,Up,1,0.26599896,66.48706507,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,18:15,6/15/15 18:15,BOX,Boxford-up,Up,1,0.26179272,63.11282435,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,18:30,6/15/15 18:30,BOX,Boxford-up,Up,1,0.26039064,62.01502609,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,18:45,6/15/15 18:45,BOX,Boxford-up,Up,1,0.25898856,60.93055038,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,19:00,6/15/15 19:00,BOX,Boxford-up,Up,1,0.25901904,60.95398492,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,19:15,6/15/15 19:15,BOX,Boxford-up,Up,1,0.25621488,58.82406644,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,19:30,6/15/15 19:30,BOX,Boxford-up,Up,1,0.2548128,57.77873099,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,19:45,6/15/15 19:45,BOX,Boxford-up,Up,1,0.25200864,55.72685527,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,20:00,6/15/15 20:00,BOX,Boxford-up,Up,1,0.25200864,55.72685527,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,20:15,6/15/15 20:15,BOX,Boxford-up,Up,1,0.24920448,53.72610488,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,20:30,6/15/15 20:30,BOX,Boxford-up,Up,1,0.2478024,52.74467658,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-06-15,20:45,6/15/15 20:45,BOX,Boxford-up,Up,1,0.2478024,52.74467658,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
