Date,Time,DateTime,Site,Permanent.ID,UNH.ID,Location,Location.Flag,Sample.Name,CArea.km2,BTC.Flag,PO4,NH4,Cl,NO3,SO4,Br,DOC,TDN,DON
2015-06-04,16:20,2015-06-04 16:20:00,BAR,BAR-Down,137186,DOWN,4,BAR_DN,NA,0,NA,39,15.011,0.018,1.089,NA,NA,NA,NA
2015-06-05,13:51,2015-06-05 13:51:00,BAR,BAR-Down,137188,DOWN,4,BAR_DN,NA,0,15,101,6.344,0.022,0.896,NA,NA,NA,NA
2015-06-04,13:55,2015-06-04 13:55:00,BAR,BAR-Out,138390,OUT,3,BAR_OUT,0.751,0,NA,NA,6.153,0.019,0.853,0.013,NA,NA,NA
2015-06-11,9:20,2015-06-11 9:20:00,BAR,BAR-Out,138393,OUT,3,BAR_OUT,0.751,0,NA,NA,6.552,0.026,0.667,0.015,NA,NA,NA
2015-06-11,10:30,2015-06-11 10:30:00,BAR,BAR-Out,138394,OUT,3,BAR_OUT,0.751,1,NA,NA,6.647,0.071,0.564,0.066,NA,NA,NA
2015-06-11,10:40,2015-06-11 10:40:00,BAR,BAR-Out,138395,OUT,3,BAR_OUT,0.751,1,NA,NA,6.95,0.328,0.529,0.32,NA,NA,NA
2015-06-11,10:50,2015-06-11 10:50:00,BAR,BAR-Out,138396,OUT,3,BAR_OUT,0.751,1,NA,NA,7.094,0.674,0.542,0.683,NA,NA,NA
2015-06-11,11:00,2015-06-11 11:00:00,BAR,BAR-Out,138397,OUT,3,BAR_OUT,0.751,1,NA,NA,7.38,0.955,0.523,0.931,NA,NA,NA
2015-06-11,11:10,2015-06-11 11:10:00,BAR,BAR-Out,138398,OUT,3,BAR_OUT,0.751,1,NA,NA,8.261,1.127,0.618,1.116,NA,NA,NA
2015-06-11,11:20,2015-06-11 11:20:00,BAR,BAR-Out,138399,OUT,3,BAR_OUT,0.751,1,NA,NA,7.629,0.866,0.5,0.852,NA,NA,NA
2015-06-11,11:30,2015-06-11 11:30:00,BAR,BAR-Out,138400,OUT,3,BAR_OUT,0.751,1,NA,NA,7.411,0.845,0.521,0.844,NA,NA,NA
2015-06-11,11:40,2015-06-11 11:40:00,BAR,BAR-Out,138401,OUT,3,BAR_OUT,0.751,1,NA,NA,7.122,0.826,0.552,0.855,NA,NA,NA
2015-06-11,11:50,2015-06-11 11:50:00,BAR,BAR-Out,138402,OUT,3,BAR_OUT,0.751,1,NA,NA,6.716,0.779,0.577,0.844,NA,NA,NA
2015-06-11,12:00,2015-06-11 12:00:00,BAR,BAR-Out,138403,OUT,3,BAR_OUT,0.751,1,NA,NA,6.698,0.663,0.597,0.742,NA,NA,NA
